Name,TeamAbbreviation,GamesPlayed,Minutes,Fouls,ShootingFouls,Loose Ball Fouls,Loose Ball Fouls Drawn,Offensive Fouls,Charge Fouls,Offensive Fouls Drawn,Charge Fouls Drawn,Clear Path Fouls,Transition Take Fouls,Transition Take Fouls Drawn,Defensive 3 Seconds Violations,FoulsDrawn
Mikal Bridges,NYK,342,11898,571,286,23,25,17,5,85,2,0,1,2,0,829
Jayson Tatum,BOS,311,11237,658,231,33,35,80,51,25,0,2,5,4,3,1471
Anthony Edwards,MIN,325,11229,666,268,23,14,34,41,13,1,2,4,3,10,1084
DeMar DeRozan,SAC,310,11182,689,363,26,29,27,23,59,22,1,6,1,5,1681
Nikola Vucevic,CHI,326,10915,747,469,45,80,71,15,13,4,0,3,0,2,687
Domantas Sabonis,SAC,308,10856,1015,473,141,152,155,45,31,7,0,1,2,9,1467
Pascal Siakam,IND,300,10755,894,353,49,43,60,56,29,5,0,3,2,12,1400
Nikola Jokic,DEN,313,10738,790,405,48,111,63,24,24,10,0,2,8,24,1831
Harrison Barnes,SAS,323,10418,389,201,35,29,26,17,55,10,0,1,2,3,1013
Fred VanVleet,HOU,281,10353,711,296,45,24,35,12,89,3,2,1,2,4,848
Julius Randle,MIN,289,10342,845,318,86,70,102,63,20,2,2,3,1,7,1374
Dejounte Murray,NOP,295,10242,538,219,28,22,20,18,30,1,0,0,3,1,727
Luka Doncic,DAL,285,10230,663,306,28,38,28,24,30,13,0,7,4,3,1828
De'Aaron Fox,SAC,289,10144,771,324,27,21,31,13,107,18,1,3,4,2,1403
Tobias Harris,DET,303,10142,595,340,16,27,42,36,11,0,0,0,3,7,609
Trae Young,ATL,290,10122,502,210,11,16,37,8,100,29,0,5,7,0,1808
Jalen Brunson,NYK,315,10114,611,259,29,32,38,20,150,99,1,1,3,2,1445
Buddy Hield,GSW,339,10113,730,367,17,12,19,7,14,0,1,2,2,1,291
RJ Barrett,TOR,294,9958,693,344,38,13,26,34,45,5,0,0,0,1,1083
Rudy Gobert,MIN,306,9837,854,417,139,187,137,14,38,9,1,1,0,33,1524
Kentavious Caldwell-Pope,ORL,321,9769,602,302,18,24,18,4,127,2,1,2,0,0,529
Devin Booker,PHX,279,9748,782,336,50,21,60,26,56,6,0,3,4,4,1428
Bam Adebayo,MIA,288,9747,728,325,51,102,116,40,24,10,0,0,1,14,1431
Terry Rozier,MIA,286,9675,487,225,12,17,38,13,106,22,0,1,0,3,744
Jaylen Brown,BOS,280,9653,739,292,33,24,67,36,37,6,0,2,0,1,1140
Royce O'Neale,PHX,326,9604,830,446,37,24,29,11,74,2,3,2,3,3,300
Giannis Antetokounmpo,MIL,285,9544,839,312,77,64,119,98,15,7,1,3,6,24,2409
James Harden,LAC,263,9447,538,241,30,22,51,28,26,6,2,2,1,7,1216
Tyrese Haliburton,IND,285,9431,389,195,9,10,14,9,32,1,1,1,2,2,610
Darius Garland,CLE,272,9296,529,217,29,11,43,4,85,17,1,0,2,0,903
Stephen Curry,GSW,275,9275,502,215,19,15,42,17,31,35,2,1,4,2,1060
Russell Westbrook,DEN,306,9247,763,274,35,31,31,36,14,28,2,3,1,1,1002
Jrue Holiday,BOS,283,9216,486,224,13,10,24,9,54,13,0,0,1,1,552
Coby White,CHI,306,9193,680,365,17,17,15,26,81,26,0,0,2,7,685
Donovan Mitchell,CLE,267,9177,622,254,50,8,33,18,37,7,2,6,1,11,1120
Josh Hart,NYK,281,9159,682,326,37,36,15,17,41,11,0,6,1,3,571
Jarrett Allen,CLE,289,9080,524,319,38,107,55,11,55,5,0,2,1,7,1126
Keldon Johnson,SAS,299,9045,605,292,27,24,18,36,30,3,0,0,1,3,776
Dennis Schroder,BKN,293,9011,676,239,19,27,38,13,88,33,0,3,3,1,861
Kyle Kuzma,WAS,280,9008,570,311,34,31,50,52,19,16,0,0,1,4,670
Dorian Finney-Smith,BKN,290,8968,665,315,61,33,25,10,18,2,0,4,0,10,250
CJ McCollum,NOP,262,8954,514,251,23,9,35,4,22,6,0,1,1,3,597
P.J. Washington,DAL,294,8941,723,431,23,32,45,14,30,2,0,0,0,3,517
Gary Trent Jr.,MIL,286,8908,481,191,14,22,34,13,45,2,0,1,3,1,474
Shai Gilgeous-Alexander,OKC,257,8876,637,297,25,13,52,20,37,0,0,0,5,7,1591
Damian Lillard,MIL,247,8863,417,194,16,26,14,20,55,20,0,0,2,0,1447
LeBron James,LAL,250,8852,385,167,25,32,42,30,10,43,0,0,3,3,1185
Tyrese Maxey,PHI,282,8814,559,269,10,18,18,19,24,5,1,0,3,0,748
Saddiq Bey,ATL,292,8804,449,180,30,19,23,17,13,2,2,2,1,5,571
Derrick White,BOS,289,8759,644,369,22,25,17,8,101,62,2,2,2,0,794
Zach LaVine,CHI,249,8735,514,270,22,15,18,32,9,1,1,2,3,4,919
D'Angelo Russell,LAL,277,8690,537,236,26,15,33,5,53,13,2,1,0,8,756
Jordan Poole,WAS,307,8681,816,328,34,24,52,16,54,9,3,6,2,2,975
Kevin Huerter,SAC,304,8641,718,342,22,9,18,1,23,0,1,1,1,5,265
Jaden McDaniels,MIN,307,8526,959,499,41,29,21,16,55,3,0,3,1,5,379
Chris Paul,SAS,276,8451,579,235,37,22,19,7,26,10,2,5,2,5,624
Aaron Gordon,DEN,277,8438,525,278,20,35,46,32,25,4,0,0,2,3,837
Jimmy Butler,MIA,250,8402,327,132,23,46,37,17,29,17,0,0,0,1,1398
Luguentz Dort,OKC,279,8400,824,354,50,30,37,28,249,17,0,1,2,5,846
Andrew Wiggins,GSW,272,8377,607,336,24,37,34,18,39,2,0,2,0,1,729
Jonas Valanciunas,WAS,319,8336,926,479,106,111,156,25,15,1,0,0,1,21,994
Malik Beasley,DET,301,8332,449,220,26,10,15,8,18,4,0,0,1,0,216
Tyler Herro,MIA,251,8293,368,195,19,14,26,11,20,1,0,0,1,0,543
Mike Conley,MIN,285,8262,539,225,19,15,9,4,111,10,1,1,0,0,620
Ivica Zubac,LAC,317,8236,841,551,53,132,96,15,17,1,1,2,0,38,805
Franz Wagner,ORL,256,8204,573,263,24,23,33,19,93,9,1,5,1,1,862
Brandon Ingram,NOP,243,8198,549,277,20,23,60,42,27,8,0,0,2,6,1050
John Collins,UTA,278,8176,832,498,45,63,59,17,20,45,1,2,2,6,818
Deandre Ayton,POR,266,8160,676,433,39,34,95,8,9,0,0,0,0,27,556
Deni Avdija,POR,311,8156,775,444,33,27,21,31,27,1,1,2,5,9,614
Isaac Okoro,CLE,300,8132,690,321,46,29,17,17,47,19,1,1,1,1,469
Kevin Durant,PHX,225,8131,437,230,15,51,40,15,22,8,0,1,3,6,1217
Jalen Green,HOU,249,8124,390,197,6,11,20,23,37,6,0,1,3,0,857
Clint Capela,ATL,300,8121,664,345,123,58,61,8,7,52,0,1,0,11,650
Jerami Grant,POR,240,8119,552,280,23,25,38,41,50,25,1,2,0,0,990
Tim Hardaway Jr.,DET,284,8115,438,204,23,25,24,9,68,71,0,0,1,0,601
OG Anunoby,NYK,231,8089,625,289,41,21,39,34,23,11,0,1,2,8,469
Dillon Brooks,HOU,268,8066,902,403,42,14,31,23,79,6,1,3,1,5,560
Kyrie Irving,DAL,223,8020,550,266,26,19,27,0,26,16,3,1,3,4,755
Grayson Allen,PHX,282,8002,467,236,26,20,15,10,53,9,0,0,1,0,432
Anthony Davis,LAL,231,7984,527,323,30,116,47,21,15,9,2,2,3,17,1262
Kelly Oubre Jr.,PHI,269,7981,713,312,30,33,25,14,84,8,0,4,2,3,730
Jordan Clarkson,UTA,276,7967,479,181,24,12,41,8,21,1,1,4,0,2,645
Caris LeVert,CLE,266,7926,553,273,18,15,19,5,55,11,0,1,0,1,667
Lauri Markkanen,UTA,251,7859,473,260,35,40,53,15,34,1,2,0,3,1,857
Karl-Anthony Towns,NYK,236,7856,838,385,71,66,168,46,36,5,0,0,0,5,1202
Scottie Barnes,TOR,224,7831,505,214,37,45,28,16,45,6,0,1,2,5,696
Terance Mann,LAC,327,7808,645,240,47,28,27,20,50,3,0,0,1,1,447
Norman Powell,LAC,268,7807,561,254,28,11,26,13,37,0,0,3,4,1,861
Jakob Poeltl,TOR,282,7793,816,510,47,81,101,11,15,8,0,0,1,17,669
Bobby Portis,MIL,312,7751,626,323,55,58,62,10,11,2,0,2,0,10,403
Brook Lopez,MIL,263,7739,635,383,50,26,86,14,11,0,0,2,0,42,464
Bojan Bogdanovic,NYK,257,7718,439,178,18,24,28,13,20,4,1,4,0,8,686
Paul George,PHI,227,7706,596,254,27,21,57,18,46,21,2,3,2,1,889
Draymond Green,GSW,258,7697,795,402,37,65,72,16,44,66,3,1,2,6,544
Miles Bridges,CHA,226,7681,469,237,23,13,23,16,35,3,0,0,0,2,574
Grant Williams,CHA,311,7666,811,390,48,46,67,6,59,34,0,3,1,2,507
Donte DiVincenzo,MIN,284,7653,517,229,26,34,29,11,85,6,0,0,3,1,429
Joel Embiid,PHI,229,7634,636,340,42,54,67,47,4,8,0,1,1,12,1793
Desmond Bane,MEM,261,7550,637,314,33,17,40,22,16,7,1,1,2,3,456
Bradley Beal,PHX,218,7527,513,279,19,14,26,28,31,26,1,0,0,8,794
Kyle Lowry,PHI,240,7492,639,292,64,42,31,4,69,78,0,4,0,4,685
Reggie Jackson,PHI,302,7473,557,249,14,12,35,13,41,15,3,3,0,2,444
Immanuel Quickley,TOR,294,7442,573,244,22,12,19,10,36,3,0,0,1,4,657
Kyle Anderson,GSW,308,7432,525,232,33,29,23,13,32,3,1,3,2,8,465
Spencer Dinwiddie,DAL,247,7392,515,219,28,3,42,8,44,6,0,2,1,1,643
Tyus Jones,PHX,312,7386,166,67,7,6,11,3,34,5,0,1,3,0,277
Duncan Robinson,MIA,282,7379,667,355,28,9,33,4,21,33,0,0,0,7,306
Bruce Brown,TOR,284,7370,659,349,37,17,20,9,18,1,1,1,2,3,410
Myles Turner,IND,251,7326,801,478,42,64,97,31,21,5,1,0,0,15,789
Michael Porter Jr.,DEN,235,7325,458,275,25,22,23,10,3,0,0,1,1,3,335
Bogdan Bogdanovic,ATL,250,7317,525,239,18,6,19,2,21,2,0,7,0,9,377
Evan Mobley,CLE,222,7314,549,378,21,29,30,14,18,1,0,0,0,21,678
Anfernee Simons,POR,250,7174,486,256,12,9,22,17,19,7,0,1,1,0,437
Ayo Dosunmu,CHI,258,7167,588,279,19,9,11,12,21,2,0,0,2,6,262
Malik Monk,SAC,285,7120,506,290,9,13,21,15,32,5,4,2,2,4,526
Nicolas Batum,LAC,289,6985,472,198,17,22,16,0,19,13,1,1,1,0,186
Al Horford,BOS,243,6960,422,255,28,19,39,3,4,0,0,0,0,8,189
Cole Anthony,ORL,276,6952,635,320,14,19,16,8,37,17,0,1,4,1,668
Jaren Jackson Jr.,MEM,241,6941,851,421,80,80,112,34,50,2,0,2,1,12,1047
Herbert Jones,NOP,227,6826,690,330,54,24,35,13,39,41,0,0,2,1,428
Kristaps Porzingis,BOS,221,6760,617,344,61,82,74,7,23,1,0,5,2,21,1086
Marcus Smart,MEM,215,6759,537,224,22,33,41,6,97,49,0,2,1,0,645
Josh Giddey,CHI,235,6758,380,219,22,14,15,19,8,1,0,0,3,8,352
Georges Niang,CLE,333,6749,699,353,46,10,32,6,18,17,0,1,0,9,203
Khris Middleton,MIL,224,6741,534,245,28,18,25,16,24,9,1,2,1,1,598
Cameron Johnson,BKN,249,6721,430,215,24,20,7,7,35,20,0,0,2,3,418
Isaiah Stewart,DET,260,6652,700,331,113,76,78,13,22,2,0,0,1,11,467
Wendell Carter Jr.,ORL,241,6651,630,332,41,82,94,7,16,7,0,1,0,16,690
Rui Hachimura,LAL,249,6649,383,183,34,4,21,15,10,6,0,2,0,2,386
Pat Connaughton,MIL,286,6640,372,231,18,24,11,7,42,7,0,0,0,1,229
Devin Vassell,SAS,248,6635,382,208,5,12,7,9,20,1,2,0,0,0,369
Reggie Bullock Jr.,HOU,255,6633,452,219,18,7,15,2,17,1,0,0,0,3,90
Caleb Martin,PHI,268,6607,470,224,32,18,19,18,49,46,1,0,0,5,431
Max Strus,CLE,257,6605,495,285,23,5,15,7,32,33,0,0,1,0,304
Ja Morant,MEM,204,6602,316,144,11,14,9,14,45,12,0,0,2,0,1147
Eric Gordon,PHI,237,6580,277,152,7,6,17,12,13,1,2,1,1,3,396
Austin Reaves,LAL,226,6531,389,222,13,23,15,8,76,46,0,0,4,2,688
Corey Kispert,WAS,250,6487,363,202,10,9,22,9,19,2,0,0,1,2,253
LaMelo Ball,CHA,202,6484,643,228,62,17,36,19,43,0,1,4,3,0,690
Kelly Olynyk,TOR,257,6476,769,367,61,61,79,14,38,43,0,5,1,4,745
De'Andre Hunter,ATL,214,6450,594,256,23,37,35,10,83,9,2,2,2,2,694
Alperen Sengun,HOU,234,6449,749,428,74,106,69,23,52,31,0,2,0,15,1024
Mason Plumlee,PHX,276,6416,739,396,36,78,54,21,15,11,0,3,1,12,695
Nic Claxton,BKN,244,6409,611,298,64,72,76,11,36,0,0,1,1,11,640
Kevon Looney,GSW,320,6394,785,428,99,56,67,5,6,3,0,1,0,12,372
Naz Reid,MIN,319,6345,750,479,42,41,43,20,19,17,0,0,1,10,521
Patrick Williams,CHI,228,6336,409,205,18,23,30,12,20,4,0,0,0,4,310
Jusuf Nurkic,PHX,237,6314,778,389,58,114,108,34,20,4,1,7,0,14,821
Jamal Murray,DEN,189,6311,331,188,6,14,15,6,41,9,1,1,3,0,567
Collin Sexton,UTA,220,6293,499,208,18,26,36,17,79,4,4,1,0,1,918
Alex Caruso,OKC,252,6276,590,286,23,21,10,4,107,51,0,2,2,2,457
Malcolm Brogdon,WAS,207,6215,367,158,26,16,20,6,38,0,0,1,0,1,567
Josh Richardson,MIA,240,6176,456,223,30,19,21,5,42,4,1,0,0,0,358
Daniel Gafford,DAL,301,6139,742,500,34,95,64,19,26,15,0,1,0,14,637
Jeff Green,HOU,284,6122,474,275,30,24,44,14,34,24,0,1,1,6,491
KJ Martin,PHI,285,6122,495,264,31,11,35,12,12,2,0,1,1,1,352
Alec Burks,MIA,259,6087,495,243,19,21,18,5,62,4,0,1,0,1,609
Klay Thompson,DAL,198,6055,336,200,15,7,22,8,7,0,0,1,1,3,237
Christian Wood,LAL,226,6030,500,288,29,70,57,28,31,1,1,1,0,16,854
Taurean Prince,MIL,265,6005,509,278,25,15,13,6,47,37,0,1,0,1,317
De'Anthony Melton,GSW,246,5996,506,246,20,15,19,7,18,1,0,1,2,0,303
Seth Curry,CHA,249,5884,402,132,29,12,21,4,34,9,0,1,2,2,265
Gordon Hayward,OKC,194,5882,296,134,12,6,35,7,14,2,0,0,2,1,536
Keegan Murray,SAC,182,5881,443,265,16,8,8,5,16,29,0,0,1,3,208
Jae'Sean Tate,HOU,254,5867,761,346,52,29,39,19,37,52,0,2,1,5,477
Kawhi Leonard,LAC,172,5850,263,118,20,11,24,9,12,5,0,2,0,1,736
Nickeil Alexander-Walker,MIN,275,5830,460,255,8,18,12,5,75,11,1,0,1,1,353
Monte Morris,PHX,235,5821,239,112,10,1,7,2,26,9,0,0,1,1,241
Justin Holiday,DEN,249,5808,426,242,19,8,4,3,35,6,0,0,0,0,183
Cedi Osman,SAS,274,5789,475,211,16,22,16,7,52,16,1,7,0,5,388
Chris Boucher,TOR,289,5784,579,397,34,90,15,14,37,29,0,1,1,12,575
T.J. McConnell,IND,266,5746,375,171,7,12,6,1,90,25,2,0,3,2,355
P.J. Tucker,LAC,229,5743,520,257,33,34,50,0,31,28,1,2,0,3,212
Luke Kennard,MEM,245,5742,322,153,22,6,13,2,10,3,1,0,1,2,159
Marcus Morris Sr.,CLE,225,5708,442,230,17,21,29,4,23,2,2,1,0,5,302
Tre Jones,SAS,259,5679,293,130,7,14,10,4,97,19,0,0,1,1,456
Matisse Thybulle,POR,267,5671,491,228,20,6,7,4,53,5,1,3,0,0,149
Jabari Smith Jr.,HOU,179,5594,488,276,32,42,21,7,16,0,1,1,1,3,348
Patrick Beverley,MIL,235,5587,597,249,19,24,18,3,33,51,0,0,1,2,381
Gary Harris,ORL,219,5574,380,169,21,8,7,8,30,3,1,2,1,2,211
Isaiah Hartenstein,OKC,279,5536,722,374,118,67,63,13,17,10,0,2,0,5,420
Derrick Jones Jr.,LAC,274,5519,492,258,9,28,21,15,47,2,0,0,0,0,358
Jarred Vanderbilt,LAL,245,5481,537,261,56,83,23,13,58,3,0,0,1,8,411
Killian Hayes,DET,210,5478,534,259,9,11,13,5,41,11,0,1,3,5,295
Devonte' Graham,SAS,227,5472,265,127,6,7,6,5,19,25,0,0,0,1,391
Torrey Craig,CHI,266,5462,533,283,37,22,15,9,31,6,0,0,0,2,175
Delon Wright,MIL,255,5451,233,124,6,9,7,2,47,9,0,1,0,0,343
Robert Covington,PHI,218,5449,527,294,12,29,25,8,21,8,0,0,1,1,192
Lonnie Walker IV,BKN,244,5442,341,196,9,1,3,14,11,2,1,0,1,1,266
Payton Pritchard,BOS,291,5414,349,139,16,11,11,0,16,5,0,2,2,0,178
Paolo Banchero,ORL,157,5411,326,191,11,13,16,27,2,6,0,1,3,4,779
Trey Murphy III,NOP,210,5400,312,181,14,12,9,7,31,2,0,1,1,2,306
Onyeka Okongwu,ATL,256,5398,714,464,65,59,66,10,5,3,0,0,0,8,437
Zion Williamson,NOP,166,5376,377,197,10,23,31,52,6,1,0,1,0,3,955
Talen Horton-Tucker,CHI,260,5345,493,231,21,16,24,28,22,11,2,0,1,0,432
Jalen Suggs,ORL,201,5329,535,255,21,40,29,18,72,28,0,0,4,2,563
Cade Cunningham,DET,159,5316,444,216,18,10,31,17,12,3,0,1,4,2,456
Davion Mitchell,TOR,251,5286,407,182,12,5,11,2,75,37,0,0,1,1,291
Precious Achiuwa,NYK,265,5266,490,260,46,27,43,28,19,8,0,0,2,8,373
Andre Drummond,PHI,284,5259,645,301,62,97,90,26,12,8,1,1,0,24,664
Jaden Ivey,DET,175,5254,506,235,25,18,20,16,35,2,1,1,3,1,629
Jalen Williams,OKC,169,5230,429,217,17,11,14,17,36,8,0,1,1,2,409
Joe Ingles,MIN,233,5228,369,109,14,6,27,4,25,2,1,4,0,2,202
Doug McDermott,SAC,264,5216,394,211,34,13,14,12,9,2,0,3,0,2,188
Dwight Powell,DAL,297,5211,703,421,56,98,81,3,41,14,0,1,0,5,691
Kevin Porter Jr.,LAC,168,5196,404,157,22,19,20,11,32,5,0,1,2,0,489
Aaron Nesmith,IND,249,5190,657,379,47,20,17,12,62,25,0,2,1,4,355
Obi Toppin,IND,307,5176,402,222,23,24,35,10,8,1,1,0,3,2,271
Patty Mills,UTA,230,5150,265,103,8,7,11,2,64,17,0,0,0,0,246
Josh Green,CHA,245,5135,477,196,27,16,25,13,87,10,0,0,0,0,305
Shake Milton,BKN,262,5115,429,222,14,3,21,13,21,11,1,0,0,2,397
Jae Crowder,SAC,200,5113,408,217,18,12,21,3,24,11,4,1,0,3,208
Mitchell Robinson,NYK,193,5058,496,321,21,74,46,1,10,1,0,0,1,6,367
Jonathan Kuminga,GSW,232,5042,516,214,36,35,32,19,26,3,1,1,0,2,536
Drew Eubanks,UTA,298,5023,518,300,34,84,74,7,16,19,0,0,1,5,485
Will Barton,TOR,183,5005,264,146,2,8,8,10,15,2,1,0,0,1,257
Naji Marshall,DAL,250,4966,362,190,17,10,15,11,13,6,0,0,5,3,343
Cameron Payne,NYK,261,4932,468,208,15,8,18,4,65,23,0,3,0,0,300
Kenrich Williams,OKC,250,4901,458,243,41,28,15,12,34,60,0,0,0,2,270
Larry Nance Jr.,ATL,217,4893,400,168,42,31,40,2,15,33,1,2,0,0,292
Steven Adams,HOU,189,4882,380,174,50,94,63,2,21,5,2,1,1,9,475
Maxi Kleber,DAL,203,4829,435,254,26,33,30,5,34,18,0,2,0,3,237
Garrison Mathews,ATL,268,4772,485,261,21,14,8,1,117,67,0,1,0,5,414
Cam Thomas,BKN,207,4766,293,162,11,14,16,8,31,0,0,3,1,3,563
Moritz Wagner,ORL,271,4704,576,252,61,58,78,16,34,73,1,2,1,18,656
John Konchar,MEM,254,4688,328,196,24,17,5,2,16,15,1,0,0,1,168
Gabe Vincent,LAL,221,4674,455,219,14,11,23,6,46,29,0,0,0,0,248
Evan Fournier,DET,181,4656,370,174,12,5,9,8,19,2,0,2,1,0,243
Trey Lyles,SAC,248,4653,344,196,22,41,21,12,6,30,0,1,0,2,400
Amir Coffey,LAC,257,4623,303,162,8,6,8,5,22,7,0,0,0,1,252
Cory Joseph,ORL,229,4615,402,183,20,9,14,12,48,9,1,0,1,0,313
Kevin Love,MIA,228,4595,331,193,25,52,20,5,12,72,0,0,0,0,429
Bennedict Mathurin,IND,162,4579,341,165,17,22,25,29,20,3,0,1,0,2,557
Dean Wade,CLE,229,4567,373,202,14,17,3,2,28,3,0,0,1,1,147
Jevon Carter,CHI,290,4489,353,163,11,6,5,2,13,1,1,1,1,3,99
Aaron Holiday,HOU,284,4445,396,180,10,7,6,7,49,2,0,1,0,0,271
Marvin Bagley III,WAS,199,4437,365,218,13,44,47,12,19,26,0,0,1,9,440
Darius Bazley,UTA,176,4406,175,99,5,9,13,4,13,0,0,0,0,1,317
