Name,TeamAbbreviation,GamesPlayed,Minutes,Fouls,ShootingFouls,Loose Ball Fouls,Loose Ball Fouls Drawn,Offensive Fouls,Charge Fouls,Offensive Fouls Drawn,Charge Fouls Drawn,Clear Path Fouls,Transition Take Fouls,Transition Take Fouls Drawn,Defensive 3 Seconds Violations,FoulsDrawn
Quentin Grimes,DAL,190,4382,364,176,8,15,5,6,27,2,0,0,1,2,168
Landry Shamet,WAS,216,4373,322,161,8,7,13,1,38,6,0,1,0,1,226
Santi Aldama,MEM,195,4331,297,176,25,28,16,7,15,4,1,1,1,5,269
Brandon Clarke,MEM,209,4330,393,213,46,41,37,4,12,4,0,0,1,2,364
Isaiah Joe,OKC,268,4289,311,154,11,13,7,1,51,55,0,0,1,1,288
Troy Brown Jr.,DET,235,4264,273,148,12,15,6,7,19,3,0,0,0,2,119
Joe Harris,DET,173,4261,331,163,20,2,14,2,17,4,0,1,0,1,111
Jalen McDaniels,TOR,232,4249,449,214,25,13,14,14,27,4,0,2,0,5,280
Cody Martin,CHA,182,4230,275,129,18,15,1,7,29,31,0,0,0,4,245
Josh Okogie,PHX,253,4217,373,181,19,28,4,10,100,16,0,0,2,2,457
Aaron Wiggins,OKC,221,4214,323,187,12,9,6,7,9,2,0,0,0,3,200
Mo Bamba,LAC,233,4193,497,306,59,27,44,10,7,1,0,0,0,14,231
Terrence Ross,PHX,172,4125,253,115,7,3,14,6,15,1,0,2,0,0,231
Xavier Tillman Sr.,BOS,242,4080,363,228,34,25,32,6,4,0,0,0,1,4,212
Cam Reddish,LAL,180,4075,291,161,7,10,6,6,16,2,1,0,1,1,249
Andrew Nembhard,IND,154,4043,343,151,12,3,15,1,31,21,0,2,2,0,220
Jaxson Hayes,LAL,258,4040,474,275,29,36,56,10,17,1,0,0,2,10,408
Jalen Duren,DET,151,4000,447,238,41,44,70,7,3,0,1,0,0,11,331
Jeremy Sochan,SAS,141,3958,335,148,30,10,19,7,19,3,0,4,0,4,266
Daniel Theis,NOP,196,3944,438,254,23,42,47,1,23,6,0,2,0,1,278
Montrezl Harrell,PHI,197,3902,340,186,19,36,24,10,13,46,0,0,0,6,561
Jalen Johnson,ATL,171,3887,302,173,11,11,16,13,10,5,0,0,0,3,241
Damion Lee,PHX,198,3879,303,146,15,15,26,1,46,6,0,0,3,1,247
Robert Williams III,POR,161,3863,334,222,19,26,27,1,2,0,0,0,1,6,191
Tre Mann,CHA,181,3857,273,155,13,6,11,3,14,8,1,1,1,3,224
Chuma Okeke,ORL,189,3831,202,117,3,12,3,2,7,3,0,0,0,0,126
Zach Collins,SAS,184,3809,525,325,46,49,68,15,19,7,0,0,0,7,384
Oshae Brissett,BOS,208,3796,281,144,17,17,11,8,10,8,0,0,0,0,314
Richaun Holmes,WAS,191,3778,466,260,42,45,50,4,9,3,0,0,0,4,286
Ben Simmons,BKN,133,3767,394,154,18,16,56,11,28,8,0,0,2,4,379
Theo Maledon,PHX,177,3753,275,128,7,5,9,1,19,2,0,0,1,1,286
Thaddeus Young,PHX,207,3732,370,213,27,20,11,6,11,40,2,0,0,1,246
Jalen Smith,CHI,229,3730,424,265,22,78,38,7,20,10,0,0,0,2,390
Walker Kessler,UTA,155,3691,338,219,25,37,46,6,5,1,0,0,1,5,253
Nick Richards,CHA,209,3647,416,198,53,63,73,5,16,4,0,0,0,8,390
Sam Hauser,BOS,205,3631,230,125,10,5,4,2,9,3,0,2,0,0,54
Christian Braun,DEN,180,3610,289,147,15,4,12,12,3,7,0,1,1,3,181
Ochai Agbaji,TOR,161,3590,277,167,14,7,13,10,6,1,0,0,1,2,120
Danilo Gallinari,MIL,166,3523,248,120,12,25,12,3,9,4,0,1,1,1,368
Bismack Biyombo,OKC,202,3520,414,224,39,61,59,4,12,0,0,1,1,12,289
Dennis Smith Jr.,BKN,170,3507,332,151,10,6,13,5,11,5,1,1,0,0,211
Hamidou Diallo,WAS,168,3496,402,169,20,18,22,17,29,3,0,1,1,2,385
Carmelo Anthony,LAL,138,3483,310,157,16,6,42,4,7,0,0,0,0,2,247
Eric Bledsoe,LAC,125,3472,197,83,5,5,11,9,33,16,1,0,0,1,335
Jose Alvarado,NOP,182,3454,313,129,13,4,8,1,35,10,0,1,2,2,188
Danny Green,PHI,144,3445,247,134,10,7,10,2,13,3,0,0,0,1,70
Davis Bertans,CHA,201,3436,330,151,17,13,14,1,17,7,1,2,0,2,168
Aleksej Pokusevski,CHA,168,3429,226,139,7,7,10,7,9,0,0,0,0,3,151
Ziaire Williams,BKN,171,3403,312,164,12,13,4,4,52,4,0,0,0,7,202
Malaki Branham,SAS,159,3377,222,132,7,5,3,1,21,0,0,0,1,1,134
Jaylen Nowell,NOP,190,3367,270,159,6,4,4,2,24,2,1,0,2,1,209
Wesley Matthews,ATL,195,3365,281,144,15,12,8,1,54,9,0,1,0,3,164
Jordan Nwora,TOR,206,3358,222,132,6,10,5,9,10,2,0,1,1,2,173
Austin Rivers,MIN,155,3341,265,129,9,4,8,2,28,1,0,0,0,1,125
Shaedon Sharpe,POR,128,3326,252,100,11,16,6,13,15,3,0,0,0,0,252
Keita Bates-Diop,BKN,209,3318,170,99,7,6,6,6,3,0,0,0,0,1,189
Chimezie Metu,DET,213,3315,304,166,22,9,20,6,12,3,0,2,1,4,228
Ricky Rubio,CLE,135,3308,265,79,9,9,7,3,41,8,1,0,1,0,284
Jordan McLaughlin,SAC,232,3302,168,87,4,7,3,1,37,8,0,1,0,1,168
Raul Neto,CLE,182,3280,262,133,9,7,7,3,56,17,0,0,0,0,300
Javonte Green,NOP,171,3264,278,145,13,14,5,7,18,4,0,0,0,1,196
Markelle Fultz,ORL,129,3263,236,117,8,12,17,11,12,1,0,0,1,0,211
Rudy Gay,UTA,174,3211,278,146,11,11,11,5,6,4,1,1,0,0,176
Chris Duarte,CHI,172,3207,245,115,5,15,8,7,26,3,2,0,0,1,232
Lamar Stevens,MEM,203,3193,283,165,13,8,7,5,12,1,0,0,0,5,174
Ish Smith,CHA,195,3188,222,143,7,5,6,0,21,19,0,1,0,0,119
Goga Bitadze,ORL,216,3182,424,212,42,62,39,4,4,2,1,0,0,9,297
Dyson Daniels,ATL,143,3176,264,139,12,11,6,7,15,3,0,0,1,3,125
Nassir Little,PHX,189,3163,238,144,8,14,5,10,12,1,0,0,1,2,174
Furkan Korkmaz,PHI,194,3129,157,85,3,7,3,3,16,6,1,0,0,1,197
R.J. Hampton,MIA,170,3116,221,114,9,5,2,12,11,3,0,0,0,2,234
Garrett Temple,TOR,175,3108,256,131,6,10,7,4,18,6,0,0,0,0,131
Trendon Watford,BKN,184,3106,370,193,20,13,40,8,14,10,0,0,0,6,275
Lonzo Ball,CHI,98,3094,196,86,6,4,12,11,9,1,0,0,0,0,102
Brandon Miller,CHA,94,3071,240,125,9,6,26,2,12,12,0,0,1,5,250
Bones Hyland,LAC,172,3039,313,135,10,5,14,2,10,0,1,2,1,3,229
Malachi Flynn,DET,213,3032,244,114,9,6,7,9,14,0,0,0,0,0,172
Haywood Highsmith,MIA,159,3006,256,139,11,9,7,2,12,1,0,1,1,2,98
Svi Mykhailiuk,UTA,201,3003,167,78,7,2,12,3,22,2,0,0,0,1,130
JaMychal Green,GSW,182,3002,407,214,21,17,47,9,9,7,0,0,0,1,180
Danuel House Jr.,PHI,168,2975,232,138,7,12,8,3,21,7,0,0,0,1,193
DeAndre Jordan,DEN,190,2948,325,182,20,38,58,0,3,1,0,4,0,8,238
Moses Moody,GSW,204,2938,213,109,22,12,10,1,14,17,0,1,1,2,195
Paul Reed,DET,226,2932,426,250,30,21,23,6,11,1,0,1,0,6,170
Miles McBride,NYK,190,2922,245,116,8,4,3,1,27,12,0,1,1,0,135
Dario Saric,DEN,181,2910,320,207,23,35,28,2,12,7,0,0,0,2,267
Bryn Forbes,MIN,170,2908,194,97,8,2,16,2,5,0,0,0,0,0,112
Ty Jerome,CLE,152,2860,239,103,13,3,3,6,9,4,0,1,1,1,166
Juan Toscano-Anderson,SAC,189,2854,317,161,16,23,24,5,17,8,0,0,0,2,143
Isaiah Roby,SAS,148,2847,324,192,24,15,17,11,10,6,0,0,1,2,232
Simone Fontecchio,DET,141,2825,204,93,12,11,8,4,12,0,0,0,1,0,122
James Wiseman,IND,148,2799,370,244,28,23,49,12,7,1,0,0,0,8,235
Tristan Thompson,CLE,168,2790,282,139,43,71,36,8,3,0,0,0,0,1,293
Mike Muscala,OKC,194,2783,262,156,12,23,17,3,10,3,1,0,0,4,165
Kris Dunn,LAC,131,2764,308,159,3,9,11,3,8,0,1,0,1,3,119
George Hill,IND,130,2758,156,79,7,8,4,3,27,5,0,0,0,0,177
Tari Eason,HOU,126,2752,292,152,23,12,11,11,6,0,0,0,0,0,166
Jeremiah Robinson-Earl,NOP,156,2743,205,122,17,20,6,2,8,6,0,0,0,6,122
Victor Wembanyama,SAS,90,2717,193,113,13,30,18,4,10,12,0,0,0,1,477
Keyonte George,UTA,97,2717,131,44,0,10,9,3,23,9,0,0,0,1,261
Taj Gibson,CHA,178,2717,369,173,35,24,26,1,7,12,0,2,0,7,150
Blake Griffin,BOS,143,2714,281,134,25,24,22,2,20,63,0,0,0,2,318
Goran Dragic,MIL,129,2704,223,85,8,5,14,7,15,10,2,0,0,0,190
Khem Birch,TOR,142,2682,241,124,30,18,23,4,4,9,0,0,0,2,168
Chet Holmgren,OKC,92,2677,215,135,19,30,12,11,8,4,0,0,1,6,282
Facundo Campazzo,DAL,138,2661,259,85,8,12,12,1,39,16,0,0,0,1,242
Derrick Rose,MEM,127,2652,110,57,9,4,2,4,16,8,1,0,0,0,170
David Roddy,ATL,149,2640,190,110,9,7,7,6,10,4,0,1,0,1,126
Gary Payton II,GSW,170,2636,292,106,25,11,24,0,9,0,0,0,0,1,102
Kendrick Nunn,WAS,126,2614,174,106,6,5,5,4,10,1,0,0,0,1,92
Stanley Johnson,SAS,139,2569,273,127,14,3,12,9,11,0,0,0,0,4,148
Yuta Watanabe,MEM,180,2560,214,142,6,11,3,2,15,4,0,0,0,0,122
Luke Kornet,BOS,196,2545,212,157,18,31,14,1,6,0,0,0,1,3,148
JaVale McGee,SAC,208,2544,402,210,39,42,65,9,10,1,0,0,0,15,297
Jabari Walker,POR,147,2524,264,116,32,23,18,6,15,5,0,1,0,5,195
Brandin Podziemski,GSW,96,2510,162,79,20,14,7,0,6,47,0,0,0,3,164
Jaime Jaquez Jr.,MIA,93,2499,193,113,8,3,4,5,7,1,0,1,1,2,164
Julian Champagnie,SAS,115,2499,139,91,2,10,3,2,6,0,0,0,0,0,94
Jock Landale,HOU,193,2486,267,153,27,34,39,1,13,0,0,0,1,3,220
Zeke Nnaji,DEN,209,2472,300,174,12,46,34,4,5,1,0,0,0,4,213
Kemba Walker,DAL,89,2461,109,64,1,6,2,0,22,35,0,0,0,0,271
James Johnson,IND,143,2460,323,175,16,6,21,2,5,2,0,1,1,1,112
Toumani Camara,POR,94,2459,243,124,12,20,15,6,36,21,0,0,0,1,171
Terence Davis,SAC,155,2451,271,128,11,6,5,13,6,2,1,0,0,5,125
Bilal Coulibaly,WAS,84,2441,191,83,6,3,2,6,2,2,0,0,0,0,151
Isaiah Jackson,IND,163,2438,397,195,26,46,58,5,12,1,0,2,2,5,292
Dalano Banton,POR,171,2399,190,102,14,7,12,9,3,1,0,0,0,1,186
Josh Jackson,SAC,113,2390,266,117,12,6,15,13,22,14,0,0,0,0,245
Victor Oladipo,MIA,83,2359,193,100,5,4,4,6,15,24,0,1,0,0,204
Thomas Bryant,MIA,144,2348,231,146,12,21,26,5,7,0,0,0,0,5,199
Alex Len,SAC,195,2334,336,195,27,21,50,3,4,0,0,0,0,7,173
Robin Lopez,MIL,160,2329,226,130,19,32,46,2,9,5,0,0,0,6,230
Otto Porter Jr.,TOR,114,2329,150,81,12,17,9,2,5,2,0,0,0,2,131
Damian Jones,CLE,175,2309,289,159,18,25,39,3,10,2,0,0,0,3,220
Nerlens Noel,BKN,106,2303,275,138,29,28,21,1,13,11,0,0,0,1,152
Cason Wallace,OKC,105,2297,176,94,12,1,2,1,5,0,0,0,0,0,50
Bol Bol,PHX,165,2252,153,91,6,9,5,3,3,0,0,0,1,3,113
Jericho Sims,NYK,161,2249,239,144,17,33,28,1,9,0,0,0,0,6,104
Peyton Watson,DEN,125,2222,205,131,10,9,3,8,4,1,0,1,2,0,125
Lou Williams,ATL,122,2222,110,33,4,1,1,0,9,3,0,0,0,0,207
Tomas Satoransky,WAS,113,2213,160,69,10,4,5,2,21,2,0,0,0,0,152
Scoot Henderson,POR,79,2211,238,99,19,10,15,11,23,3,0,0,1,1,259
Kevin Knox II,DET,166,2199,201,123,17,6,6,3,6,0,0,0,0,3,98
Ben McLemore,POR,117,2190,191,109,13,3,6,2,9,2,0,0,0,0,124
Elfrid Payton,NOP,120,2177,164,60,9,0,5,6,7,0,0,0,0,0,137
Enes Freedom,BOS,107,2169,210,142,14,38,20,5,3,0,0,0,0,3,171
Jordan Goodwin,MEM,121,2167,172,97,6,11,3,1,13,1,0,1,4,2,127
Dwight Howard,LAL,129,2166,315,151,42,55,63,5,5,0,0,0,0,3,314
Willy Hernangomez,NOP,133,2143,229,122,21,25,34,2,5,4,1,0,0,1,262
Josh Christopher,HOU,138,2120,156,77,7,10,4,8,7,2,0,0,0,0,142
Markieff Morris,DAL,142,2088,198,92,9,6,18,2,5,7,0,0,0,5,81
Justise Winslow,POR,103,2058,203,93,10,7,10,6,10,8,0,0,1,0,108
Andre Iguodala,GSW,102,2054,135,81,5,6,5,1,15,5,0,0,0,1,98
Isaiah Livers,DET,94,2051,183,119,5,9,2,3,7,1,0,0,1,1,62
John Wall,LAC,74,2043,105,66,3,1,3,8,7,2,0,0,0,2,252
Amen Thompson,HOU,86,2034,199,85,10,10,7,9,12,3,0,1,1,0,195
JT Thor,CLE,168,2027,154,111,6,3,5,1,3,0,0,0,1,4,72
Jaden Hardy,DAL,143,2018,174,87,9,6,10,6,10,9,0,0,1,0,159
Serge Ibaka,MIL,111,2018,201,97,28,10,23,3,3,0,0,0,0,7,112
D.J. Augustin,LAL,112,2012,95,38,5,2,6,1,7,5,1,0,0,1,112
Avery Bradley,LAL,89,2008,173,65,4,2,5,0,10,4,0,0,0,0,50
DeAndre' Bembry,MIL,107,1998,200,76,4,2,2,5,17,0,2,0,0,0,92
Brandon Boston Jr.,NOP,127,1961,144,75,3,1,4,4,12,1,0,1,0,2,146
Juancho Hernangomez,TOR,134,1958,120,59,8,6,7,2,6,0,0,0,0,0,111
Saben Lee,PHX,134,1943,165,78,7,3,4,0,21,7,1,0,1,0,224
Day'Ron Sharpe,BKN,144,1908,284,143,28,31,36,2,2,1,0,2,0,8,188
Frank Jackson,UTA,94,1907,142,77,8,5,5,4,17,1,0,0,0,0,151
Anthony Gill,WAS,197,1903,212,120,13,12,11,1,16,8,0,0,1,0,159
Max Christie,LAL,131,1899,120,74,2,3,6,0,5,0,1,0,0,0,65
Romeo Langford,SAS,109,1898,138,76,12,4,2,1,22,11,0,1,0,0,120
Cody Zeller,NOP,133,1896,255,119,28,35,28,5,10,11,0,0,0,11,224
Gradey Dick,TOR,79,1885,127,67,2,6,2,3,5,6,1,0,1,3,106
Sterling Brown,LAL,104,1881,157,87,7,5,1,4,2,1,0,0,0,1,41
Kent Bazemore,LAL,106,1878,228,112,6,17,7,3,19,6,0,0,0,0,124
Dwayne Bacon,ORL,72,1853,103,44,1,0,4,0,5,0,0,0,0,1,128
Sam Merrill,CLE,123,1835,138,63,8,4,5,0,10,19,0,0,0,1,79
Wayne Ellington,LAL,89,1822,101,46,3,3,3,0,9,0,0,0,0,0,46
Tony Snell,NOP,100,1815,145,78,7,2,1,2,1,0,0,0,0,1,21
Jaylin Williams,OKC,118,1811,209,119,14,14,15,5,7,61,0,0,0,0,147
Moses Brown,IND,150,1804,218,135,24,27,23,2,1,2,0,0,1,19,231
Jake LaRavia,MEM,95,1804,176,91,9,8,5,6,8,0,0,0,0,1,130
Anthony Black,ORL,95,1787,164,87,7,14,6,1,25,3,1,0,0,1,136
Trent Forrest,ATL,151,1758,107,59,5,1,4,2,0,3,0,1,0,0,84
Blake Wesley,SAS,117,1757,167,103,3,2,5,1,4,1,0,0,1,0,101
Kira Lewis Jr.,UTA,131,1745,142,82,0,1,1,2,10,7,0,0,0,0,96
Nemanja Bjelica,GSW,108,1738,196,94,21,11,19,3,0,0,0,0,0,6,106
Timothe Luwawu-Cabarrot,ATL,110,1735,175,93,8,4,3,2,9,5,1,0,0,1,78
Dereck Lively II,DAL,74,1734,200,125,19,8,21,1,2,0,0,0,1,15,109
LaMarcus Aldridge,BKN,73,1725,125,80,6,13,17,1,0,0,1,0,0,3,128
Caleb Houstan,ORL,126,1716,130,67,14,7,2,0,1,0,0,0,0,3,35
Hassan Whiteside,UTA,101,1708,252,155,25,38,28,5,3,2,0,0,0,5,228
Wenyen Gabriel,MEM,120,1704,254,140,20,24,26,7,6,0,0,0,0,3,142
Dewayne Dedmon,PHI,121,1702,285,137,32,22,44,6,6,15,0,2,0,10,164
Jeremy Lamb,SAC,92,1701,131,64,9,11,3,1,10,2,1,0,0,0,157
Derrick Favors,OKC,107,1692,205,139,11,12,5,4,3,2,0,0,0,2,89
Sandro Mamukelashvili,SAS,147,1679,126,74,12,15,5,4,6,1,0,0,0,0,102
Bryce McGowens,POR,106,1671,122,61,4,4,7,3,18,3,0,0,0,0,145
Ausar Thompson,DET,68,1659,186,77,11,10,2,3,25,2,0,1,1,1,127
Frank Ntilikina,CHA,143,1657,175,87,8,9,6,1,11,7,0,0,0,2,85
Kessler Edwards,DAL,141,1656,153,86,10,6,3,1,8,2,0,0,0,2,53
Solomon Hill,ATL,84,1653,132,63,5,2,5,2,4,1,0,0,0,0,38
Rodney Hood,LAC,107,1652,105,56,6,1,3,4,2,7,0,0,0,0,57
Maurice Harkless,SAC,84,1635,163,88,4,1,7,1,4,0,0,0,0,1,60
Anthony Lamb,GSW,88,1618,168,84,23,16,4,4,13,8,0,2,0,3,94
Kris Murray,POR,83,1615,113,60,8,4,4,1,4,1,0,0,0,1,64
Lindy Waters III,GSW,123,1609,128,86,7,4,0,1,1,3,0,0,2,2,32
Bruno Fernando,TOR,162,1607,254,135,29,21,43,1,3,0,0,0,0,3,166
Edmond Sumner,BKN,106,1597,171,78,8,3,2,5,13,1,0,0,0,0,151
Vince Williams Jr.,MEM,70,1586,156,62,6,11,3,3,25,6,0,2,2,0,144
AJ Griffin,ATL,92,1572,93,51,1,0,1,0,5,0,0,1,0,0,41
Marcus Sasser,DET,87,1562,116,62,4,6,3,0,11,1,0,0,0,0,81
Keon Johnson,BKN,104,1547,163,90,3,4,3,2,9,3,1,0,0,2,101
PJ Dozier,MIN,91,1538,129,65,8,3,1,3,16,3,0,0,0,0,98
Paul Millsap,PHI,89,1538,178,107,5,12,7,4,5,7,1,0,0,0,118
Vit Krejci,ATL,92,1529,148,81,5,1,4,0,7,0,0,0,0,2,40
Keon Ellis,SAC,96,1521,168,90,2,5,5,0,9,1,0,0,0,0,72
Trayce Jackson-Davis,GSW,89,1503,134,90,7,5,17,3,1,0,0,0,0,2,116
Rodney McGruder,DET,99,1472,109,58,2,2,3,3,15,1,0,0,1,0,63
Armoni Brooks,BKN,84,1468,111,67,2,2,2,2,3,1,3,0,0,1,34
Rajon Rondo,CLE,84,1467,109,33,6,2,4,1,11,2,0,0,0,0,64
Jordan Hawkins,NOP,78,1463,84,49,1,0,4,0,6,2,0,1,0,1,68
Vasilije Micic,CHA,73,1459,84,41,5,1,2,1,6,2,0,0,2,4,85
Eric Paschall,UTA,98,1431,119,53,7,8,12,8,5,1,0,0,0,1,139
DeMarcus Cousins,DEN,89,1430,246,125,14,19,27,12,7,14,0,0,0,0,222
AJ Green,MIL,113,1414,123,72,5,2,2,0,11,6,0,0,0,0,36
Jonathan Isaac,ORL,90,1393,100,58,4,17,2,3,5,0,0,0,0,0,102
Thanasis Antetokounmpo,MIL,176,1386,188,91,16,7,15,2,15,3,0,0,0,0,106
Vlatko Cancar,DEN,120,1381,124,69,3,6,8,0,7,3,0,1,0,1,74
Brad Wanamaker,WAS,84,1373,139,56,0,2,3,4,7,2,1,0,0,0,121
CJ Elleby,POR,88,1367,143,78,11,8,3,0,4,4,0,0,0,0,86
Mark Williams,CHA,65,1366,146,79,16,21,23,0,1,0,0,0,0,6,133
Duane Washington Jr.,PHX,79,1362,89,53,4,2,0,0,13,1,1,0,0,0,92
Semi Ojeleye,LAC,86,1356,86,49,12,3,3,1,4,9,0,0,0,0,59
Nikola Jovic,MIA,75,1355,121,64,12,8,4,2,6,3,0,1,1,1,90
Trey Burke,DAL,104,1355,103,54,2,4,6,0,10,3,0,0,0,0,89
MarJon Beauchamp,MIL,111,1343,128,67,5,2,5,4,3,1,0,0,0,1,50
Ish Wainright,PHX,116,1336,174,90,18,6,10,2,5,5,0,0,1,1,53
Omer Yurtseven,UTA,113,1335,152,90,7,14,23,2,2,2,0,0,0,2,95
Trevor Ariza,LAL,54,1303,75,36,2,1,2,2,8,6,0,0,0,0,64
Duop Reath,POR,81,1297,171,104,18,10,10,3,4,4,0,0,0,4,94
David Nwaba,HOU,76,1288,115,56,5,4,1,2,11,4,0,0,0,1,113
Gorgui Dieng,SAS,113,1282,165,93,12,11,14,3,3,10,0,0,0,3,104
Tony Bradley,CHI,109,1266,125,61,9,7,27,4,4,0,0,0,0,3,84
Denzel Valentine,UTA,86,1258,90,45,6,3,0,3,2,0,0,0,0,1,31
Jalen Wilson,BKN,66,1240,101,54,9,10,5,4,5,0,0,0,1,0,70
Daishen Nix,MIN,99,1239,83,44,1,0,4,2,3,1,0,0,0,0,66
GG Jackson II,MEM,48,1233,64,37,1,2,4,0,2,0,0,0,1,1,101
Dalen Terry,CHI,122,1231,140,74,11,4,3,1,5,3,0,0,0,2,76
Usman Garuba,GSW,105,1227,165,86,12,13,17,0,4,3,0,0,1,2,55
Dante Exum,DAL,61,1204,94,41,4,3,3,0,21,3,0,1,0,0,85
Jared Butler,WAS,105,1182,130,73,1,2,4,2,7,3,0,0,1,0,74
Johnny Davis,WAS,95,1178,118,61,3,2,2,2,7,0,0,0,1,0,49
Terry Taylor,CHI,95,1165,104,42,12,7,7,2,2,2,1,0,0,1,53
Scotty Pippen Jr.,MEM,52,1142,126,46,9,4,5,2,22,5,0,0,1,0,136
Frank Kaminsky,HOU,92,1131,106,70,5,6,5,0,8,1,0,0,0,1,78
Brandon Goodwin,CLE,83,1121,80,20,1,6,4,4,8,0,0,0,0,0,79
Ousmane Dieng,OKC,88,1119,82,50,9,3,1,2,1,0,0,0,0,6,41
Skylar Mays,LAL,105,1111,61,37,3,3,2,2,5,2,0,1,0,0,59
Ben Sheppard,IND,70,1086,121,75,4,5,3,0,9,0,0,0,0,0,30
Joshua Primo,LAC,56,1069,87,57,5,2,3,2,12,3,0,0,0,1,78
Eugene Omoruyi,WAS,87,1057,155,74,12,10,11,1,10,17,1,0,1,2,121
