Name,TeamAbbreviation,GamesPlayed,Minutes,PlusMinus,OnOffRtg,OnDefRtg,FirstChancePoints,ThreePtOffReboundedPct,AtRimOffReboundedPct,ShortMidRangeOffReboundedPct,LongMidRangeOffReboundedPct,Blocks,Blocked2s,Blocked3s,BlockedAtRim,BlockedShortMidRange,BlockedLongMidRange,BlockedCorner3,BlockedArc3,RecoveredBlocks,BlocksRecoveredPct,Steals,LostBallSteals,BadPassSteals,DefensiveGoaltends
Mikal Bridges,NYK,342,11898,918,117.40431367659893,113.42435056851191,5207,0.22434150772025432,0.34265734265734266,0.2957983193277311,0.17424242424242425,202,192,10,113,72,7,3,7,120,0.594059406,369,85,284,3
Jayson Tatum,BOS,311,11237,2130,120.24311040898719,111.21820262300854,7913,0.23604368932038836,0.3629191321499014,0.3379501385041551,0.23648648648648649,186,165,21,76,76,13,3,18,106,0.5698924731182796,331,115,216,9
Anthony Edwards,MIN,325,11229,553,115.39722246183041,113.10972977639645,7005,0.21756225425950196,0.3323353293413174,0.31587301587301586,0.21311475409836064,196,180,16,97,74,9,6,10,107,0.5459183673469388,445,178,267,6
DeMar DeRozan,SAC,310,11182,35,115.55839351770301,115.73043631867161,7063,0.24552429667519182,0.3763440860215054,0.2693726937269373,0.21363636363636362,131,129,2,73,54,2,1,1,73,0.5572519083969466,326,101,225,1
Nikola Vucevic,CHI,326,10915,-653,112.88360146005138,116.12976099037635,5464,0.1707070707070707,0.3486682808716707,0.18523002421307505,0.10462287104622871,255,249,6,164,83,2,1,5,157,0.615686275,265,67,198,4
Domantas Sabonis,SAC,308,10856,285,116.27564016624211,115.61685686045466,4964,0.16615384615384615,0.36075949367088606,0.23837209302325582,0.12121212121212122,157,154,3,92,59,3,2,1,106,0.6751592356687898,290,78,212,9
Pascal Siakam,IND,300,10755,596,117.01503483681702,114.61407621937204,5925,0.21468926553672316,0.36116910229645094,0.326984127,0.1675,146,128,18,79,48,1,6,12,91,0.6232876712328768,300,134,166,5
Nikola Jokic,DEN,313,10738,2323,122.92598338961395,112.95947868386031,7047,0.1855123674911661,0.4981751824817518,0.3560145808019441,0.13306451612903225,240,240,0,117,117,6,0,0,147,0.6125,433,106,327,0
Harrison Barnes,SAS,323,10418,-232,116.66666666666667,117.9989781225324,4219,0.23705408515535098,0.37770897832817335,0.29107981220657275,0.13333333333333333,52,50,2,25,24,1,1,1,33,0.6346153846153846,214,64,150,1
Fred VanVleet,HOU,281,10353,860,115.93926081558591,112.39621826558526,4773,0.2935656836461126,0.4201954397394137,0.36658354114713215,0.23738872403560832,179,167,12,66,89,12,4,8,108,0.6033519553072626,456,280,176,0
Julius Randle,MIN,289,10342,412,114.94396613919484,113.4041525832931,5733,0.19444444444444445,0.4456066945606695,0.31343283582089554,0.20843091334894615,93,90,3,69,16,5,3,0,57,0.6129032258064516,209,78,131,1
Dejounte Murray,NOP,295,10242,-173,115.61088102409639,116.53476540418315,5489,0.21481481481481482,0.4009546539379475,0.31316725978647686,0.21811460258780038,77,69,8,43,20,6,1,7,39,0.5064935064935064,480,134,346,1
Luka Doncic,DAL,285,10230,914,119.09906433876723,115.15180862912209,8094,0.22554002541296062,0.3431372549019608,0.2738225629791895,0.1940700808625337,150,136,14,66,66,4,3,11,78,0.52,363,122,241,3
De'Aaron Fox,SAC,289,10144,83,117.79709049688267,118.2034333539398,6769,0.2383612662942272,0.36363636363636365,0.32459016393442625,0.2163355408388521,112,95,17,37,51,7,8,9,60,0.5357142857142857,431,225,206,2
Tobias Harris,DET,303,10142,993,116.9265470236344,112.42682146898214,4591,0.1798063623789765,0.3556701030927835,0.30028735632183906,0.11737089201877934,201,188,13,84,92,12,5,8,102,0.5074626865671642,260,96,164,4
Trae Young,ATL,290,10122,405,118.86181152274969,117.42881387893645,7054,0.22205663189269748,0.40093240093240096,0.33560864618885095,0.21652421652421652,42,37,5,16,19,2,1,4,28,0.6666666666666666,309,117,192,0
Jalen Brunson,NYK,315,10114,1194,119.81029002781088,114.59197441407225,6117,0.23728813559322035,0.35755813953488375,0.33638443935926776,0.22888283378746593,33,30,3,18,12,0,1,2,18,0.5454545454545454,247,77,170,0
Buddy Hield,GSW,339,10113,-151,116.1042798589267,117.49592560636565,4540,0.24219210371243372,0.35271317829457366,0.32608695652173914,0.17801047120418848,128,120,8,64,55,1,2,6,71,0.5546875,317,136,181,1
RJ Barrett,TOR,294,9958,-299,113.83057912758673,115.23431688569303,5263,0.2275189599133261,0.38514442916093533,0.36133333333333334,0.2222222222222222,79,75,4,47,26,2,1,3,51,0.6455696202531646,174,57,117,1
Rudy Gobert,MIN,306,9837,1640,116.79701296735456,108.3417287930687,3126,0,0.36904761904761907,0.26200873362445415,0.1875,618,602,16,307,280,15,8,8,371,0.6003236245954693,209,48,161,29
Kentavious Caldwell-Pope,ORL,321,9769,1051,117.8596632725073,112.6185192656849,3200,0.202576112,0.3802083333333333,0.3163841807909605,0.22627737226277372,143,136,7,47,85,4,4,3,70,0.48951048951048953,397,119,278,0
Devin Booker,PHX,279,9748,1318,119.95596477181745,113.91934023936437,6864,0.21435142594296228,0.3860759493670886,0.32073011734028684,0.21746031746031746,97,92,5,51,38,3,1,4,50,0.5154639175257731,268,73,195,4
Bam Adebayo,MIA,288,9747,556,114.10362266487769,111.50483679064715,4797,0.1267605633802817,0.36065573770491804,0.20892494929006086,0.11003236245954692,254,247,7,100,128,19,5,2,142,0.5590551181102362,358,99,259,47
Terry Rozier,MIA,286,9675,-601,113.1578947368421,116.28153380423815,5074,0.21940298507462686,0.39325842696629215,0.31608133086876156,0.19622641509433963,96,92,4,51,40,1,1,3,46,0.4791666666666667,328,114,214,0
Jaylen Brown,BOS,280,9653,1353,118.3023067583974,111.71787851130718,6273,0.20563847429519072,0.4025695931477516,0.30869565217391304,0.16809116809116809,120,118,2,64,48,6,0,2,66,0.55,321,141,180,2
Royce O'Neale,PHX,326,9604,907,117.31243576567319,112.17889673523693,2291,0.25274725274725274,0.4358974358974359,0.448,0.25,171,166,5,79,78,9,0,5,92,0.5380116959064327,289,79,210,0
Giannis Antetokounmpo,MIL,285,9544,1505,119.91110667199361,112.90824261275272,7673,0.22137404580152673,0.37037037037037035,0.31457431457431456,0.15718157181571815,322,317,5,189,115,13,2,3,215,0.6677018633540373,294,127,167,29
James Harden,LAC,263,9447,895,119.61374069969924,114.95169209651021,5038,0.21398124467178176,0.3649025069637883,0.41030927835051545,0.33,173,154,19,68,81,5,5,14,84,0.48554913294797686,321,115,206,0
Tyrese Haliburton,IND,285,9431,-309,116.7886923,118.86137350012766,4581,0.22400756143667297,0.33760683760683763,0.30917874396135264,0.23222748815165878,165,114,51,45,54,15,14,37,104,0.6303030303030303,417,74,343,1
Darius Garland,CLE,272,9296,820,115.9092125689203,112.36785329018339,4989,0.22614107883817428,0.3811881188118812,0.3089430894308943,0.25925925925925924,35,33,2,17,13,3,0,2,17,0.4857142857142857,337,99,238,0
Stephen Curry,GSW,275,9275,1346,117.98901434238633,112.1586943132827,7070,0.24512987012987014,0.36363636363636365,0.37971698113207547,0.22661870503597123,87,83,4,20,54,9,0,4,41,0.47126436781609193,291,124,167,0
Russell Westbrook,DEN,306,9247,-324,113.68114758282711,115.20575187394829,4559,0.1820689655172414,0.3236641221374046,0.256993007,0.19599109131403117,113,107,6,50,54,3,3,3,59,0.5221238938053098,348,138,210,2
Jrue Holiday,BOS,283,9216,1809,120.65092466826874,111.35757258697357,4283,0.223915592,0.3151515151515151,0.3172268907563025,0.22448979591836735,152,136,16,51,73,12,1,15,77,0.506578947,360,170,190,3
Coby White,CHI,306,9193,-85,115.14909478168263,115.58939410073475,4081,0.22461273666092943,0.4173669467787115,0.330188679,0.21808510638297873,55,55,0,32,22,1,0,0,28,0.509090909,199,62,137,2
Donovan Mitchell,CLE,267,9177,1396,118.53023156089193,111.63379674533893,6555,0.2134228187919463,0.3937947494033413,0.35423728813559324,0.19337016574585636,92,91,1,52,36,3,0,1,42,0.45652173913043476,388,101,287,4
Josh Hart,NYK,281,9159,580,117.92432314885289,114.60912052117264,2741,0.2508532423208191,0.40350877192982454,0.41743119266055045,0.3064516129032258,77,71,6,50,21,0,2,4,49,0.6363636363636364,294,110,184,1
Jarrett Allen,CLE,289,9080,583,115.9114626242654,112.35764345159878,3399,0.14705882352941177,0.2850678733031674,0.17902813299232737,0.234375,352,349,3,284,62,3,2,1,217,0.6164772727272727,206,48,158,8
Keldon Johnson,SAS,299,9045,-1046,112.3192258613356,117.86188932007867,4324,0.18805309734513273,0.46226415094339623,0.3380281690140845,0.17333333333333334,74,70,4,43,27,0,0,4,47,0.6351351351351351,213,78,135,4
Dennis Schroder,BKN,293,9011,62,114.17085976810326,114.0625856305146,3843,0.23481781376518218,0.3333333333333333,0.2883817427385892,0.1875,52,50,2,24,23,3,1,1,28,0.5384615384615384,261,100,161,0
Kyle Kuzma,WAS,280,9008,-983,110.84577650800496,116.05084563180007,4637,0.15841584158415842,0.3366013071895425,0.28290468986384265,0.16393442622950818,179,171,8,82,83,6,2,6,89,0.4972067039106145,155,38,117,22
Dorian Finney-Smith,BKN,290,8968,388,117.02980356739671,114.54873036428128,2347,0.19109663409337677,0.37435897435897436,0.33035714285714285,0.16666666666666666,146,145,1,109,35,1,0,1,80,0.547945205,266,91,175,4
CJ McCollum,NOP,262,8954,316,117.06688596491227,115.74053697183099,5161,0.2360549717057397,0.3485915492957746,0.2996632996632997,0.20393120393120392,128,125,3,54,67,4,0,3,72,0.5625,262,99,163,0
P.J. Washington,DAL,294,8941,-235,113.8789843327931,115.33549783549783,3393,0.22949117341640707,0.3667711598746082,0.3548387096774194,0.18309859154929578,301,290,11,192,96,2,6,5,166,0.5514950166112956,289,115,174,22
Gary Trent Jr.,MIL,286,8908,-162,115.52743548654473,116.71282960336804,4113,0.26571668063704945,0.4381443298969072,0.3763157894736842,0.21890547263681592,54,54,0,21,30,3,0,0,29,0.5370370370370371,378,189,189,2
Shai Gilgeous-Alexander,OKC,257,8876,568,116.1226242886288,113.45076492135317,6779,0.215962441,0.32786885245901637,0.2319526627218935,0.1873198847262248,224,190,34,86,93,11,11,23,133,0.59375,399,188,211,0
Damian Lillard,MIL,247,8863,639,119.93344607495499,116.93875314999453,6348,0.2192866578599736,0.3488372093023256,0.3136645962732919,0.20588235294117646,68,65,3,25,36,4,0,3,34,0.5,220,103,117,0
LeBron James,LAL,250,8852,475,116.75412703618673,114.1326921,6213,0.2101593625498008,0.40081799591002043,0.3117154811715481,0.1978021978021978,167,164,3,91,68,5,0,3,100,0.5988023952095808,276,85,191,19
Tyrese Maxey,PHI,282,8814,663,117.05606154890535,113.76235374304214,4926,0.21177802944507362,0.34557235421166305,0.30918727915194344,0.2,91,82,9,30,45,7,0,9,50,0.5494505494505495,231,83,148,1
Saddiq Bey,ATL,292,8804,-878,112.4724548259145,117.43230574091434,3480,0.2273519163763066,0.44072948328267475,0.3166144200626959,0.23015873015873015,54,48,6,27,20,1,1,5,27,0.5,246,91,155,6
Derrick White,BOS,289,8759,1598,119.56387689892932,110.63078216989067,3673,0.2131455399061033,0.40384615384615385,0.29427792915531337,0.21505376344086022,281,255,26,109,134,12,6,20,165,0.5871886120996441,241,109,132,5
Zach LaVine,CHI,249,8735,-121,114.40914158305462,115.21205357142858,5694,0.18282548476454294,0.3600867678958785,0.27075812274368233,0.19164619164619165,82,74,8,49,20,5,0,8,48,0.5853658536585366,194,55,139,0
D'Angelo Russell,LAL,277,8690,349,116.69051287695356,115.18833535844472,4590,0.21702838063439064,0.33816425120772947,0.2906178489702517,0.17627118644067796,108,98,10,40,50,8,0,10,54,0.5,267,76,191,0
Jordan Poole,WAS,307,8681,-459,111.81972324016846,114.93374388299334,5101,0.20773638968481375,0.34256055363321797,0.2796610169491525,0.1581196581196581,86,81,5,30,50,1,2,3,55,0.6395348837209303,267,107,160,1
Kevin Huerter,SAC,304,8641,538,118.63633804402905,116.09091423079097,3385,0.2136986301369863,0.3333333333333333,0.3018867924528302,0.16666666666666666,103,97,6,42,50,5,2,4,61,0.5922330097087378,284,73,211,2
Jaden McDaniels,MIN,307,8526,104,114.02857142857142,113.22724161533196,2658,0.23134328358208955,0.34418604651162793,0.32432432432432434,0.225,249,232,17,139,85,8,3,14,137,0.5502008032128514,250,98,152,14
Chris Paul,SAS,276,8451,1013,117.26190476190476,112.06977563726066,3435,0.23778501628664495,0.38,0.30446194225721784,0.20935412026726058,72,70,2,28,38,4,1,1,39,0.5416666666666666,415,194,221,0
Aaron Gordon,DEN,277,8438,1397,120.77241218617115,113.02314706570024,3407,0.15991902834008098,0.5073170731707317,0.33557046979865773,0.21212121212121213,177,168,9,99,61,8,0,9,114,0.6440677966101694,193,57,136,18
Jimmy Butler,MIA,250,8402,766,116.5619953346492,112.13464302827023,4789,0.2,0.38687782805429866,0.31378299120234604,0.18867924528301888,89,65,24,33,29,3,15,9,50,0.5617977528089888,419,166,253,1
Luguentz Dort,OKC,279,8400,-5,113.83744855967078,113.65166295852588,3333,0.20404234841193455,0.4077669902912621,0.28044280442804426,0.16455696202531644,127,120,7,55,57,8,1,6,76,0.5984251968503937,264,115,149,5
Andrew Wiggins,GSW,272,8377,396,114.46461397058823,111.94543161756276,3949,0.17262638717632553,0.3854166666666667,0.3045186640471513,0.16828478964401294,204,188,16,57,117,14,4,12,125,0.6127450980392157,249,93,156,3
Jonas Valanciunas,WAS,319,8336,190,115.4653150232805,114.71057766215337,3579,0.1858108108108108,0.4437367303609342,0.19796954314720813,0.14814814814814814,256,256,0,137,115,4,0,0,174,0.6796875,136,36,100,8
Malik Beasley,DET,301,8332,139,115.5468705097994,114.86020020711081,3546,0.25700280112044815,0.4863013698630137,0.3373015873015873,0.16176470588235295,38,35,3,16,17,2,2,1,20,0.5263157894736842,216,52,164,3
Tyler Herro,MIA,251,8293,372,114.60477996508337,112.6705300012073,4516,0.23568075117370893,0.37142857142857144,0.2903225806451613,0.24522292993630573,46,39,7,19,15,5,4,3,25,0.5434782608695652,177,48,129,6
Mike Conley,MIN,285,8262,1301,118.00791556728232,110.70417444732246,3386,0.24074074074074073,0.42857142857142855,0.35467980295566504,0.2727272727272727,65,60,5,25,29,6,2,3,32,0.49230769230769234,357,162,195,0
Ivica Zubac,LAC,317,8236,276,115.08498155204741,113.6148812409113,2602,0,0.35333333333333333,0.24375,0.16666666666666666,346,339,7,219,116,4,3,4,217,0.6271676300578035,124,24,100,7
Franz Wagner,ORL,256,8204,153,112.27944255039178,111.42429682824657,4260,0.2392807745504841,0.3921971252566735,0.33447098976109213,0.22077922077922077,91,86,5,37,44,5,3,2,51,0.5604395604395604,264,98,166,1
Brandon Ingram,NOP,243,8198,309,116.18858620482291,114.54392095433185,5070,0.24669603524229075,0.4224137931034483,0.2838709677419355,0.24962406015037594,132,126,6,70,52,4,3,3,76,0.5757575757575758,174,49,125,7
John Collins,UTA,278,8176,-156,116.75768728481538,117.70468443863919,3659,0.21294718909710392,0.3782051282051282,0.31662870159453305,0.1487603305785124,271,267,4,161,103,3,1,3,167,0.6162361623616236,173,68,105,24
Deandre Ayton,POR,266,8160,162,114.84639574262215,114.35078343252763,3528,0.19402985074626866,0.4212218649517685,0.19906687402799378,0.13026819923371646,229,224,5,103,116,5,1,4,133,0.5807860262008734,189,43,146,12
Deni Avdija,POR,311,8156,-657,112.58782547086261,115.85809937742277,2828,0.2052877138413686,0.40955631399317405,0.29464285714285715,0.14285714285714285,144,144,0,70,72,2,0,0,74,0.5138888888888888,240,73,167,5
Isaac Okoro,CLE,300,8132,-74,114.01148077279181,113.15516504972848,2232,0.2509727626459144,0.40181268882175225,0.35664335664335667,0.23529411764705882,119,113,6,59,45,9,1,5,54,0.453781513,246,61,185,2
Kevin Durant,PHX,225,8131,1135,119.69353684712617,112.89265065267925,5870,0.2223816355810617,0.3533834586466165,0.27844311377245506,0.21244635193133046,274,245,29,119,120,6,9,20,162,0.5912408759124088,183,62,121,4
Jalen Green,HOU,249,8124,-877,112.44944087556507,118.23561054330285,4532,0.273286467,0.3804347826086957,0.3829787234042553,0.23745819397993312,71,61,10,31,26,4,3,7,45,0.6338028169014085,195,70,125,8
Clint Capela,ATL,300,8121,353,117.86012650674304,115.34756496402451,2578,0,0.44490934449093444,0.36942675159235666,0.125,430,423,7,303,117,3,0,7,280,0.6511627906976745,203,73,130,41
Jerami Grant,POR,240,8119,-918,110.86771844660194,116.56542339934394,4416,0.2222222222222222,0.3604060913705584,0.32662192393736017,0.20512820512820512,218,193,25,124,53,16,5,20,128,0.5871559633027523,196,85,111,12
Tim Hardaway Jr.,DET,284,8115,179,117.01257477719449,116.21075821553148,3738,0.2,0.32515337423312884,0.26436781609195403,0.17164179104477612,35,31,4,18,13,0,0,4,20,0.5714285714285714,166,57,109,0
OG Anunoby,NYK,231,8089,937,117.27613545571876,111.59972938065071,3343,0.25492610837438423,0.41284403669724773,0.35018050541516244,0.20610687022900764,167,140,27,64,60,16,15,12,99,0.592814371,369,111,258,1
Dillon Brooks,HOU,268,8066,705,115.88291746641075,111.60741051621801,3613,0.2537313432835821,0.40066225165562913,0.3418803418803419,0.24358974358974358,67,64,3,39,23,2,1,2,32,0.47761194029850745,257,94,163,2
Kyrie Irving,DAL,223,8020,967,120.93913254768557,115.40851763845733,5465,0.188911704,0.3501683501683502,0.28739495798319326,0.2175226586102719,132,127,5,44,80,3,1,4,79,0.5984848484848485,285,141,144,3
Grayson Allen,PHX,282,8002,706,117.47232137455381,113.41374712086314,2935,0.21451787648970747,0.2792207792207792,0.3333333333333333,0.32142857142857145,91,90,1,53,35,2,1,0,50,0.5494505494505495,237,90,147,5
Anthony Davis,LAL,231,7984,332,114.90245664739884,113.14185723767575,4738,0.1524822695035461,0.3856041131105398,0.22302158273381295,0.1572769953051643,487,454,33,224,217,13,8,25,311,0.6386036960985626,273,74,199,10
Kelly Oubre Jr.,PHI,269,7981,-595,111.82060283258686,114.9002831837079,3774,0.19433962264150945,0.36855036855036855,0.33853006681514475,0.189873418,149,135,14,81,50,4,6,8,71,0.47651006711409394,307,154,153,5
Jordan Clarkson,UTA,276,7967,430,117.25869671729544,114.77279695836144,4455,0.271889401,0.3442622950819672,0.3706395348837209,0.40217391304347827,46,45,1,25,19,1,0,1,28,0.6086956521739131,206,78,128,1
Caris LeVert,CLE,266,7926,426,115.81130440165913,113.38460584258513,3699,0.22685788787483702,0.3956043956043956,0.28717948717948716,0.184,119,114,5,53,59,2,3,2,67,0.5630252100840336,282,94,188,1
Lauri Markkanen,UTA,251,7859,205,116.7824792157836,115.55362462760675,4240,0.24737344794651384,0.4711864406779661,0.3342541436464088,0.26881720430107525,111,108,3,51,57,0,1,2,62,0.5585585585585585,175,39,136,6
Karl-Anthony Towns,NYK,236,7856,786,118.05332674978396,113.74263565891472,4770,0.17420212765957446,0.39461883408071746,0.27655310621242485,0.098039216,217,211,6,118,90,3,3,3,123,0.5668202764976958,190,76,114,17
Scottie Barnes,TOR,224,7831,63,114.93341788205454,114.32369137287169,3197,0.23754789272030652,0.4477124183006536,0.36460176991150445,0.18660287081339713,214,186,28,103,82,1,7,21,128,0.5981308411214953,256,85,171,19
Terance Mann,LAC,327,7808,107,114.97864746000383,113.60871768879878,2522,0.2088888888888889,0.4268292682926829,0.3107569721115538,0.1926605504587156,76,70,6,39,28,3,0,6,56,0.7368421052631579,191,72,119,3
Norman Powell,LAC,268,7807,-35,115.60341071761998,116.14654849581825,4265,0.19685990338164253,0.36079545454545453,0.3390804597701149,0.20270270270270271,82,70,12,25,41,4,4,8,50,0.6097560975609756,237,92,145,3
Jakob Poeltl,TOR,282,7793,36,115.59937402190923,115.33070521243977,2518,0,0.33153638814016173,0.2821576763485477,0.36363636363636365,432,430,2,284,145,1,1,1,269,0.6226851851851852,219,65,154,5
Bobby Portis,MIL,312,7751,421,117.05063370169196,114.5294338207724,3437,0.1872,0.4290322580645161,0.21095334685598377,0.16785714285714284,140,138,2,60,74,4,0,2,80,0.5714285714285714,214,67,147,6
Brook Lopez,MIL,263,7739,1011,118.15318097591106,112.15103683070257,2986,0.23056994818652848,0.32989690721649484,0.30566037735849055,0.095238095,551,548,3,309,233,6,0,3,358,0.6497277676950998,154,57,97,14
Bojan Bogdanovic,NYK,257,7718,-37,116.0129474,116.27729812087354,4160,0.2564366632337796,0.36398467432950193,0.29273504273504275,0.2846715328467153,18,18,0,7,9,2,0,0,10,0.5555555555555556,143,28,115,1
Paul George,PHI,227,7706,1121,118.19762947693893,111.39273244536403,4819,0.18471953578336556,0.47547169811320755,0.3315508021390374,0.1714922048997773,98,92,6,47,42,3,2,4,60,0.6122448979591837,347,165,182,4
