Name,TeamAbbreviation,GamesPlayed,Minutes,height_in,weight_lbs
Mikal Bridges,NYK,342,11898,78,209
Jayson Tatum,BOS,311,11237,80,210
Anthony Edwards,MIN,325,11229,76,225
DeMar DeRozan,SAC,310,11182,78,220
Nikola Vucevic,CHI,326,10915,82,260
Domantas Sabonis,SAC,308,10856,82,240
Pascal Siakam,IND,300,10755,80,245
Nikola Jokic,DEN,313,10738,83,284
Harrison Barnes,SAS,323,10418,80,225
Fred VanVleet,HOU,281,10353,73,197
Julius Randle,MIN,289,10342,81,250
Dejounte Murray,NOP,295,10242,76,180
Luka Doncic,DAL,285,10230,78,230
De'Aaron Fox,SAC,289,10144,75,185
Tobias Harris,DET,303,10142,80,226
Trae Young,ATL,290,10122,73,164
Jalen Brunson,NYK,315,10114,74,190
Buddy Hield,GSW,339,10113,76,220
RJ Barrett,TOR,294,9958,78,214
Rudy Gobert,MIN,306,9837,85,258
Kentavious Caldwell-Pope,ORL,321,9769,77,204
Devin Booker,PHX,279,9748,78,206
Bam Adebayo,MIA,288,9747,81,255
Terry Rozier,MIA,286,9675,73,190
Jaylen Brown,BOS,280,9653,78,223
Royce O'Neale,PHX,326,9604,78,226
Giannis Antetokounmpo,MIL,285,9544,83,243
James Harden,LAC,263,9447,77,220
Tyrese Haliburton,IND,285,9431,77,185
Darius Garland,CLE,272,9296,73,192
Stephen Curry,GSW,275,9275,74,185
Russell Westbrook,DEN,306,9247,76,200
Jrue Holiday,BOS,283,9216,76,205
Coby White,CHI,306,9193,77,195
Donovan Mitchell,CLE,267,9177,75,215
Josh Hart,NYK,281,9159,76,215
Jarrett Allen,CLE,289,9080,81,243
Keldon Johnson,SAS,299,9045,77,220
Dennis Schroder,BKN,293,9011,73,175
Kyle Kuzma,WAS,280,9008,81,221
Dorian Finney-Smith,BKN,290,8968,79,220
CJ McCollum,NOP,262,8954,75,190
P.J. Washington,DAL,294,8941,78,230
Gary Trent Jr.,MIL,286,8908,77,204
Shai Gilgeous-Alexander,OKC,257,8876,78,195
Damian Lillard,MIL,247,8863,74,195
LeBron James,LAL,250,8852,81,250
Tyrese Maxey,PHI,282,8814,74,200
Saddiq Bey,ATL,292,8804,79,215
Derrick White,BOS,289,8759,76,190
Zach LaVine,CHI,249,8735,77,200
D'Angelo Russell,LAL,277,8690,75,193
Jordan Poole,WAS,307,8681,76,194
Kevin Huerter,SAC,304,8641,79,198
Jaden McDaniels,MIN,307,8526,81,185
Chris Paul,SAS,276,8451,73,175
Aaron Gordon,DEN,277,8438,80,235
Jimmy Butler,MIA,250,8402,79,230
Luguentz Dort,OKC,279,8400,76,220
Andrew Wiggins,GSW,272,8377,79,197
Jonas Valanciunas,WAS,319,8336,83,265
Malik Beasley,DET,301,8332,76,187
Tyler Herro,MIA,251,8293,77,195
Mike Conley,MIN,285,8262,73,175
Ivica Zubac,LAC,317,8236,85,240
Franz Wagner,ORL,256,8204,82,220
Brandon Ingram,NOP,243,8198,80,190
John Collins,UTA,278,8176,81,226
Deandre Ayton,POR,266,8160,85,252
Deni Avdija,POR,311,8156,81,240
Isaac Okoro,CLE,300,8132,77,225
Kevin Durant,PHX,225,8131,83,240
Jalen Green,HOU,249,8124,76,186
Clint Capela,ATL,300,8121,82,256
Jerami Grant,POR,240,8119,79,210
Tim Hardaway Jr.,DET,284,8115,77,205
OG Anunoby,NYK,231,8089,79,240
Dillon Brooks,HOU,268,8066,78,225
Kyrie Irving,DAL,223,8020,74,195
Grayson Allen,PHX,282,8002,76,198
Anthony Davis,LAL,231,7984,82,253
Kelly Oubre Jr.,PHI,269,7981,80,203
Jordan Clarkson,UTA,276,7967,75,194
Caris LeVert,CLE,266,7926,78,205
Lauri Markkanen,UTA,251,7859,85,240
Karl-Anthony Towns,NYK,236,7856,85,248
Scottie Barnes,TOR,224,7831,79,237
Terance Mann,LAC,327,7808,77,215
Norman Powell,LAC,268,7807,76,215
Jakob Poeltl,TOR,282,7793,85,260
Bobby Portis,MIL,312,7751,82,250
Brook Lopez,MIL,263,7739,85,282
Bojan Bogdanovic,NYK,257,7718,79,226
Paul George,PHI,227,7706,80,220
Draymond Green,GSW,258,7697,78,230
Miles Bridges,CHA,226,7681,79,225
Grant Williams,CHA,311,7666,78,236
Donte DiVincenzo,MIN,284,7653,76,203
Joel Embiid,PHI,229,7634,85,280
Desmond Bane,MEM,261,7550,77,215
Bradley Beal,PHX,218,7527,76,207
Kyle Lowry,PHI,240,7492,73,196
Reggie Jackson,PHI,302,7473,74,208
Immanuel Quickley,TOR,294,7442,74,190
Kyle Anderson,GSW,308,7432,81,230
Spencer Dinwiddie,DAL,247,7392,77,215
Tyus Jones,PHX,312,7386,73,196
Duncan Robinson,MIA,282,7379,79,215
Bruce Brown,TOR,284,7370,76,202
Myles Turner,IND,251,7326,83,250
Michael Porter Jr.,DEN,235,7325,82,218
Bogdan Bogdanovic,ATL,250,7317,77,225
Evan Mobley,CLE,222,7314,83,215
Anfernee Simons,POR,250,7174,75,200
Ayo Dosunmu,CHI,258,7167,77,200
Malik Monk,SAC,285,7120,75,200
Nicolas Batum,LAC,289,6985,80,230
Al Horford,BOS,243,6960,81,240
Cole Anthony,ORL,276,6952,74,185
Jaren Jackson Jr.,MEM,241,6941,82,242
Herbert Jones,NOP,227,6826,79,206
Kristaps Porzingis,BOS,221,6760,86,240
Marcus Smart,MEM,215,6759,75,220
Josh Giddey,CHI,235,6758,80,216
Georges Niang,CLE,333,6749,79,230
Khris Middleton,MIL,224,6741,79,222
Cameron Johnson,BKN,249,6721,80,210
Isaiah Stewart,DET,260,6652,80,250
Wendell Carter Jr.,ORL,241,6651,82,270
Rui Hachimura,LAL,249,6649,80,230
Pat Connaughton,MIL,286,6640,77,209
Devin Vassell,SAS,248,6635,77,200
Reggie Bullock Jr.,HOU,255,6633,78,205
Caleb Martin,PHI,268,6607,77,205
Max Strus,CLE,257,6605,77,215
Ja Morant,MEM,204,6602,74,174
Eric Gordon,PHI,237,6580,75,215
Austin Reaves,LAL,226,6531,77,197
Corey Kispert,WAS,250,6487,78,224
LaMelo Ball,CHA,202,6484,79,180
Kelly Olynyk,TOR,257,6476,83,240
De'Andre Hunter,ATL,214,6450,80,221
Alperen Sengun,HOU,234,6449,83,243
Mason Plumlee,PHX,276,6416,82,254
Nic Claxton,BKN,244,6409,83,215
Kevon Looney,GSW,320,6394,81,222
Naz Reid,MIN,319,6345,81,264
Patrick Williams,CHI,228,6336,79,215
Jusuf Nurkic,PHX,237,6314,85,290
Jamal Murray,DEN,189,6311,76,215
Collin Sexton,UTA,220,6293,75,190
Alex Caruso,OKC,252,6276,77,186
Malcolm Brogdon,WAS,207,6215,76,229
Josh Richardson,MIA,240,6176,77,200
Daniel Gafford,DAL,301,6139,82,265
Jeff Green,HOU,284,6122,80,235
KJ Martin,PHI,285,6122,78,215
Alec Burks,MIA,259,6087,77,214
Klay Thompson,DAL,198,6055,77,220
Christian Wood,LAL,226,6030,80,214
Taurean Prince,MIL,265,6005,78,218
De'Anthony Melton,GSW,246,5996,75,200
Seth Curry,CHA,249,5884,73,185
Gordon Hayward,OKC,194,5882,79,225
Keegan Murray,SAC,182,5881,80,225
Jae'Sean Tate,HOU,254,5867,76,230
Kawhi Leonard,LAC,172,5850,79,225
Nickeil Alexander-Walker,MIN,275,5830,77,205
Monte Morris,PHX,235,5821,74,183
Justin Holiday,DEN,249,5808,78,180
Cedi Osman,SAS,274,5789,79,230
Chris Boucher,TOR,289,5784,81,200
T.J. McConnell,IND,266,5746,73,190
P.J. Tucker,LAC,229,5743,77,245
Luke Kennard,MEM,245,5742,77,206
Marcus Morris Sr.,CLE,225,5708,80,218
Tre Jones,SAS,259,5679,73,185
Matisse Thybulle,POR,267,5671,77,201
Jabari Smith Jr.,HOU,179,5594,82,220
Patrick Beverley,MIL,235,5587,74,180
Gary Harris,ORL,219,5574,76,210
Isaiah Hartenstein,OKC,279,5536,85,250
Derrick Jones Jr.,LAC,274,5519,78,210
Jarred Vanderbilt,LAL,245,5481,80,214
Killian Hayes,DET,210,5478,77,195
Devonte' Graham,SAS,227,5472,73,195
Torrey Craig,CHI,266,5462,77,221
Delon Wright,MIL,255,5451,77,185
Robert Covington,PHI,218,5449,79,209
Lonnie Walker IV,BKN,244,5442,76,204
Payton Pritchard,BOS,291,5414,73,195
Paolo Banchero,ORL,157,5411,82,250
Trey Murphy III,NOP,210,5400,80,206
Onyeka Okongwu,ATL,256,5398,82,240
Zion Williamson,NOP,166,5376,78,284
Talen Horton-Tucker,CHI,260,5345,76,234
Jalen Suggs,ORL,201,5329,77,205
Cade Cunningham,DET,159,5316,78,220
Davion Mitchell,TOR,251,5286,73,202
Precious Achiuwa,NYK,265,5266,80,243
Andre Drummond,PHI,284,5259,83,279
Jaden Ivey,DET,175,5254,76,195
Jalen Williams,OKC,169,5230,77,211
Joe Ingles,MIN,233,5228,80,220
Doug McDermott,SAC,264,5216,78,225
Dwight Powell,DAL,297,5211,82,240
Kevin Porter Jr.,LAC,168,5196,76,203
Aaron Nesmith,IND,249,5190,78,215
Obi Toppin,IND,307,5176,81,220
Patty Mills,UTA,230,5150,74,180
Josh Green,CHA,245,5135,77,200
Shake Milton,BKN,262,5115,77,205
Jae Crowder,SAC,200,5113,78,235
Mitchell Robinson,NYK,193,5058,85,240
Jonathan Kuminga,GSW,232,5042,79,225
Drew Eubanks,UTA,298,5023,82,245
Will Barton,TOR,183,5005,78,181
Naji Marshall,DAL,250,4966,78,220
Cameron Payne,NYK,261,4932,75,183
Kenrich Williams,OKC,250,4901,78,210
Larry Nance Jr.,ATL,217,4893,80,245
Steven Adams,HOU,189,4882,83,265
Maxi Kleber,DAL,203,4829,82,240
Garrison Mathews,ATL,268,4772,78,215
Cam Thomas,BKN,207,4766,75,210
Moritz Wagner,ORL,271,4704,83,245
John Konchar,MEM,254,4688,77,210
Gabe Vincent,LAL,221,4674,74,200
Evan Fournier,DET,181,4656,78,205
Trey Lyles,SAC,248,4653,81,234
Amir Coffey,LAC,257,4623,79,210
Cory Joseph,ORL,229,4615,74,200
Kevin Love,MIA,228,4595,80,251
Bennedict Mathurin,IND,162,4579,77,210
Dean Wade,CLE,229,4567,81,228
Jevon Carter,CHI,290,4489,73,200
Aaron Holiday,HOU,284,4445,73,185
Marvin Bagley III,WAS,199,4437,82,235
Darius Bazley,UTA,176,4406,81,216
Quentin Grimes,DAL,190,4382,76,210
Landry Shamet,WAS,216,4373,76,190
Santi Aldama,MEM,195,4331,85,215
Brandon Clarke,MEM,209,4330,80,215
Isaiah Joe,OKC,268,4289,75,165
Troy Brown Jr.,DET,235,4264,79,215
Joe Harris,DET,173,4261,78,220
Jalen McDaniels,TOR,232,4249,81,190
Cody Martin,CHA,182,4230,78,205
Josh Okogie,PHX,253,4217,76,213
Aaron Wiggins,OKC,221,4214,77,190
Mo Bamba,LAC,233,4193,85,231
Terrence Ross,PHX,172,4125,78,206
Xavier Tillman Sr.,BOS,242,4080,79,245
Cam Reddish,LAL,180,4075,79,217
Andrew Nembhard,IND,154,4043,76,191
Jaxson Hayes,LAL,258,4040,85,220
Jalen Duren,DET,151,4000,82,250
Jeremy Sochan,SAS,141,3958,80,230
Daniel Theis,NOP,196,3944,80,245
Montrezl Harrell,PHI,197,3902,79,240
Jalen Johnson,ATL,171,3887,80,219
Damion Lee,PHX,198,3879,78,210
Robert Williams III,POR,161,3863,81,249
Tre Mann,CHA,181,3857,75,178
Chuma Okeke,ORL,189,3831,79,229
Zach Collins,SAS,184,3809,83,250
Oshae Brissett,BOS,208,3796,79,210
Richaun Holmes,WAS,191,3778,81,235
Ben Simmons,BKN,133,3767,82,240
Theo Maledon,PHX,177,3753,77,175
Thaddeus Young,PHX,207,3732,80,225
Jalen Smith,CHI,229,3730,81,215
Walker Kessler,UTA,155,3691,85,245
Nick Richards,CHA,209,3647,85,245
Sam Hauser,BOS,205,3631,79,217
Christian Braun,DEN,180,3610,78,220
Ochai Agbaji,TOR,161,3590,77,215
Danilo Gallinari,MIL,166,3523,82,236
Bismack Biyombo,OKC,202,3520,80,255
Dennis Smith Jr.,BKN,170,3507,75,205
Hamidou Diallo,WAS,168,3496,77,202
Carmelo Anthony,LAL,138,3483,79,238
Eric Bledsoe,LAC,125,3472,73,214
Jose Alvarado,NOP,182,3454,73,179
Danny Green,PHI,144,3445,78,215
Davis Bertans,CHA,201,3436,82,225
Aleksej Pokusevski,CHA,168,3429,85,210
Ziaire Williams,BKN,171,3403,81,185
Malaki Branham,SAS,159,3377,76,180
Jaylen Nowell,NOP,190,3367,76,201
Wesley Matthews,ATL,195,3365,77,220
Jordan Nwora,TOR,206,3358,80,225
Austin Rivers,MIN,155,3341,76,200
Shaedon Sharpe,POR,128,3326,77,208
Keita Bates-Diop,BKN,209,3318,80,229
Chimezie Metu,DET,213,3315,82,225
Ricky Rubio,CLE,135,3308,74,190
Jordan McLaughlin,SAC,232,3302,73,185
Raul Neto,CLE,182,3280,74,180
Javonte Green,NOP,171,3264,77,205
Markelle Fultz,ORL,129,3263,76,209
Rudy Gay,UTA,174,3211,80,250
Chris Duarte,CHI,172,3207,77,190
Lamar Stevens,MEM,203,3193,79,230
Ish Smith,CHA,195,3188,73,175
Goga Bitadze,ORL,216,3182,82,250
Dyson Daniels,ATL,143,3176,79,199
Nassir Little,PHX,189,3163,78,220
Furkan Korkmaz,PHI,194,3129,79,202
R.J. Hampton,MIA,170,3116,76,175
Garrett Temple,TOR,175,3108,77,195
Trendon Watford,BKN,184,3106,80,237
Lonzo Ball,CHI,98,3094,78,190
Brandon Miller,CHA,94,3071,79,200
Bones Hyland,LAC,172,3039,74,169
Malachi Flynn,DET,213,3032,73,185
Haywood Highsmith,MIA,159,3006,77,220
Svi Mykhailiuk,UTA,201,3003,79,205
JaMychal Green,GSW,182,3002,81,227
Danuel House Jr.,PHI,168,2975,78,220
DeAndre Jordan,DEN,190,2948,83,265
Moses Moody,GSW,204,2938,77,211
Paul Reed,DET,226,2932,81,210
Miles McBride,NYK,190,2922,73,195
Dario Saric,DEN,181,2910,82,225
Bryn Forbes,MIN,170,2908,74,205
Ty Jerome,CLE,152,2860,77,195
Juan Toscano-Anderson,SAC,189,2854,78,209
Isaiah Roby,SAS,148,2847,80,230
Simone Fontecchio,DET,141,2825,79,209
James Wiseman,IND,148,2799,83,240
Tristan Thompson,CLE,168,2790,81,254
Mike Muscala,OKC,194,2783,82,240
Kris Dunn,LAC,131,2764,75,205
George Hill,IND,130,2758,76,188
Tari Eason,HOU,126,2752,80,215
Jeremiah Robinson-Earl,NOP,156,2743,80,240
Victor Wembanyama,SAS,90,2717,87,235
Keyonte George,UTA,97,2717,76,185
Taj Gibson,CHA,178,2717,81,232
Blake Griffin,BOS,143,2714,82,251
Goran Dragic,MIL,129,2704,75,190
Khem Birch,TOR,142,2682,80,233
Chet Holmgren,OKC,92,2677,85,208
Facundo Campazzo,DAL,138,2661,70,195
Derrick Rose,MEM,127,2652,74,200
David Roddy,ATL,149,2640,76,255
Gary Payton II,GSW,170,2636,75,195
Kendrick Nunn,WAS,126,2614,75,190
Stanley Johnson,SAS,139,2569,78,242
Yuta Watanabe,MEM,180,2560,81,215
Luke Kornet,BOS,196,2545,85,250
JaVale McGee,SAC,208,2544,85,270
Jabari Walker,POR,147,2524,79,237
Brandin Podziemski,GSW,96,2510,76,205
Jaime Jaquez Jr.,MIA,93,2499,78,225
Julian Champagnie,SAS,115,2499,79,217
Jock Landale,HOU,193,2486,83,255
Zeke Nnaji,DEN,209,2472,81,240
Kemba Walker,DAL,89,2461,72,184
James Johnson,IND,143,2460,79,240
Toumani Camara,POR,94,2459,79,229
Terence Davis,SAC,155,2451,76,201
Bilal Coulibaly,WAS,84,2441,80,195
Isaiah Jackson,IND,163,2438,81,205
Dalano Banton,POR,171,2399,80,203
Josh Jackson,SAC,113,2390,80,207
Victor Oladipo,MIA,83,2359,75,213
Thomas Bryant,MIA,144,2348,82,248
Alex Len,SAC,195,2334,85,250
Robin Lopez,MIL,160,2329,85,281
Otto Porter Jr.,TOR,114,2329,80,198
Damian Jones,CLE,175,2309,82,245
Nerlens Noel,BKN,106,2303,83,220
Cason Wallace,OKC,105,2297,75,195
Bol Bol,PHX,165,2252,87,220
Jericho Sims,NYK,161,2249,82,250
Peyton Watson,DEN,125,2222,79,200
Lou Williams,ATL,122,2222,73,175
Tomas Satoransky,WAS,113,2213,79,210
Scoot Henderson,POR,79,2211,75,206
Kevin Knox II,DET,166,2199,79,215
Ben McLemore,POR,117,2190,75,195
Elfrid Payton,NOP,120,2177,75,195
Enes Freedom,BOS,107,2169,82,250
Jordan Goodwin,MEM,121,2167,76,200
Dwight Howard,LAL,129,2166,82,265
Willy Hernangomez,NOP,133,2143,83,250
Josh Christopher,HOU,138,2120,76,215
Markieff Morris,DAL,142,2088,81,245
Justise Winslow,POR,103,2058,78,222
Andre Iguodala,GSW,102,2054,78,215
Isaiah Livers,DET,94,2051,78,232
John Wall,LAC,74,2043,75,210
Amen Thompson,HOU,86,2034,79,200
JT Thor,CLE,168,2027,81,203
Jaden Hardy,DAL,143,2018,75,198
Serge Ibaka,MIL,111,2018,82,235
D.J. Augustin,LAL,112,2012,71,183
Avery Bradley,LAL,89,2008,74,180
DeAndre' Bembry,MIL,107,1998,77,210
Brandon Boston Jr.,NOP,127,1961,78,188
Juancho Hernangomez,TOR,134,1958,81,214
Saben Lee,PHX,134,1943,74,183
Day'Ron Sharpe,BKN,144,1908,81,265
Frank Jackson,UTA,94,1907,75,205
Anthony Gill,WAS,197,1903,80,230
Max Christie,LAL,131,1899,77,190
Romeo Langford,SAS,109,1898,77,216
Cody Zeller,NOP,133,1896,83,240
Gradey Dick,TOR,79,1885,78,200
Sterling Brown,LAL,104,1881,77,219
Kent Bazemore,LAL,106,1878,76,195
Dwayne Bacon,ORL,72,1853,78,221
Sam Merrill,CLE,123,1835,76,205
Wayne Ellington,LAL,89,1822,76,207
Tony Snell,NOP,100,1815,78,213
Jaylin Williams,OKC,118,1811,81,240
Moses Brown,IND,150,1804,86,258
Jake LaRavia,MEM,95,1804,79,235
Anthony Black,ORL,95,1787,79,200
Trent Forrest,ATL,151,1758,76,210
Blake Wesley,SAS,117,1757,75,185
Kira Lewis Jr.,UTA,131,1745,73,170
Nemanja Bjelica,GSW,108,1738,82,234
Timothe Luwawu-Cabarrot,ATL,110,1735,79,220
Dereck Lively II,DAL,74,1734,85,230
LaMarcus Aldridge,BKN,73,1725,83,250
Caleb Houstan,ORL,126,1716,80,205
Hassan Whiteside,UTA,101,1708,84,265
Wenyen Gabriel,MEM,120,1704,81,205
Dewayne Dedmon,PHI,121,1702,82,245
Jeremy Lamb,SAC,92,1701,77,180
Derrick Favors,OKC,107,1692,81,265
Sandro Mamukelashvili,SAS,147,1679,81,240
Bryce McGowens,POR,106,1671,78,190
Ausar Thompson,DET,68,1659,78,205
Frank Ntilikina,CHA,143,1657,76,200
Kessler Edwards,DAL,141,1656,79,203
Solomon Hill,ATL,84,1653,78,226
Rodney Hood,LAC,107,1652,80,208
Maurice Harkless,SAC,84,1635,79,220
Anthony Lamb,GSW,88,1618,78,227
Kris Murray,POR,83,1615,80,216
Lindy Waters III,GSW,123,1609,78,210
Bruno Fernando,TOR,162,1607,81,240
Edmond Sumner,BKN,106,1597,76,196
Vince Williams Jr.,MEM,70,1586,76,205
AJ Griffin,ATL,92,1572,78,220
Marcus Sasser,DET,87,1562,74,195
Keon Johnson,BKN,104,1547,77,185
PJ Dozier,MIN,91,1538,78,205
Paul Millsap,PHI,89,1538,79,257
Vit Krejci,ATL,92,1529,80,195
Keon Ellis,SAC,96,1521,76,175
Trayce Jackson-Davis,GSW,89,1503,81,245
Rodney McGruder,DET,99,1472,76,205
Armoni Brooks,BKN,84,1468,75,195
Rajon Rondo,CLE,84,1467,73,180
Jordan Hawkins,NOP,78,1463,77,190
Vasilije Micic,CHA,73,1459,77,202
Eric Paschall,UTA,98,1431,78,255
DeMarcus Cousins,DEN,89,1430,82,270
AJ Green,MIL,113,1414,76,190
Jonathan Isaac,ORL,90,1393,82,230
Thanasis Antetokounmpo,MIL,176,1386,79,219
Vlatko Cancar,DEN,120,1381,80,236
Brad Wanamaker,WAS,84,1373,76,210
CJ Elleby,POR,88,1367,78,200
Mark Williams,CHA,65,1366,85,240
Duane Washington Jr.,PHX,79,1362,74,197
Semi Ojeleye,LAC,86,1356,78,240
Nikola Jovic,MIA,75,1355,82,223
Trey Burke,DAL,104,1355,73,185
MarJon Beauchamp,MIL,111,1343,79,199
Ish Wainright,PHX,116,1336,77,250
Omer Yurtseven,UTA,113,1335,83,275
Trevor Ariza,LAL,54,1303,80,215
Duop Reath,POR,81,1297,81,245
David Nwaba,HOU,76,1288,77,219
Gorgui Dieng,SAS,113,1282,82,252
Tony Bradley,CHI,109,1266,82,248
Denzel Valentine,UTA,86,1258,76,220
Jalen Wilson,BKN,66,1240,78,220
Daishen Nix,MIN,99,1239,76,238
GG Jackson II,MEM,48,1233,81,210
Dalen Terry,CHI,122,1231,79,195
Usman Garuba,GSW,105,1227,80,229
Dante Exum,DAL,61,1204,77,214
Jared Butler,WAS,105,1182,75,193
Johnny Davis,WAS,95,1178,74,170
Terry Taylor,CHI,95,1165,76,230
Scotty Pippen Jr.,MEM,52,1142,73,170
Frank Kaminsky,HOU,92,1131,85,240
Brandon Goodwin,CLE,83,1121,73,180
Ousmane Dieng,OKC,88,1119,81,185
Skylar Mays,LAL,105,1111,75,205
Ben Sheppard,IND,70,1086,78,190
Joshua Primo,LAC,56,1069,76,189
Eugene Omoruyi,WAS,87,1057,78,235
